state,district,bio_total_sum,bio_total_mean,bio_total_std,bio_total_max,bio_total_min,demo_total_sum,demo_total_mean,demo_total_std,demo_total_max,demo_total_min,total_auth_sum,total_auth_mean,total_auth_std,total_auth_max,total_auth_min,bio_youth_sum,bio_youth_mean,bio_adult_sum,bio_adult_mean,demo_youth_sum,demo_youth_mean,demo_adult_sum,demo_adult_mean,num_pincodes,active_days,bio_demo_ratio,youth_adult_ratio,volume_per_pincode,daily_avg_volume,volatility_index,anomaly_label,anomaly_score,is_anomaly,anomaly_severity
Andhra Pradesh,Anantapur,107005.0,10.595603525101495,33.43987199581517,759.0,0.0,71048.0,7.0351519952470545,32.28033849913439,881.0,0.0,178053.0,17.63075552034855,53.952481685179535,1230.0,0.0,40860.0,4.045945143083474,66145.0,6.549658382018022,9297.0,0.920586196653134,61751.0,6.114565798593921,92,95,1.5061,0.3922,1935.36,1874.24,2.8959,1,0.116139984825403,0,14.93
Andhra Pradesh,Ananthapur,92636.0,10.597872097014072,48.20907403456455,1102.0,0.0,31029.0,3.5498226747511725,14.280131146579777,449.0,0.0,123665.0,14.147694771765245,54.449647478491535,1269.0,0.0,70016.0,8.010067497997941,22620.0,2.5878045990161307,9372.0,1.0721885367806887,21657.0,2.477634137970484,94,95,2.9854,1.7929,1315.59,1301.74,3.5946,1,0.019277130698960865,0,40.63
Andhra Pradesh,Ananthapuramu,129371.0,14.429065358019184,66.53982313687158,1265.0,0.0,57168.0,6.376087441445461,48.74485953494679,1342.0,0.0,186539.0,20.805152799464643,103.38137507246141,2338.0,0.0,106258.0,11.851215703769798,23113.0,2.5778496542493867,12015.0,1.340062458175329,45153.0,5.036024983270131,95,95,2.263,1.7325,1963.57,1963.57,4.7411,-1,-0.004893484101853085,1,47.05
Andhra Pradesh,Annamayya,12161.0,3.075619625695498,17.482399734116182,459.0,0.0,34128.0,8.631259484066767,71.59876815559315,2175.0,0.0,46289.0,11.706879109762266,87.10550733894597,2634.0,0.0,7250.0,1.8335862417804756,4911.0,1.2420333839150228,5862.0,1.4825493171471926,28266.0,7.148710166919575,47,95,0.3563,0.3952,984.87,487.25,6.855,1,0.04736747941179825,0,33.18
Andhra Pradesh,Bapatla,6980.0,1.862823592207099,7.0817718554392775,114.0,0.0,13762.0,3.6728049105951426,21.790420822486066,422.0,0.0,20742.0,5.535628502802242,26.42068989769732,511.0,0.0,4555.0,1.2156391780090738,2425.0,0.6471844141980251,2046.0,0.5460368294635709,11716.0,3.126768081131572,58,95,0.5072,0.4668,357.62,218.34,4.0426,1,0.11930121097130003,0,14.09
Andhra Pradesh,Chittoor,301111.0,27.110020707661835,113.65737019177502,3072.0,0.0,173439.0,15.61528765643288,81.3900524503299,2168.0,0.0,474550.0,42.725308364094715,176.93076264465122,4226.0,0.0,201105.0,18.106149275231836,100006.0,9.00387143243,29340.0,2.641577383631944,144099.0,12.973710272800936,101,95,1.7361,0.944,4698.51,4995.26,4.0464,1,0.02387049163116528,0,39.42
Andhra Pradesh,Cuddapah,194945.0,21.495754768993272,83.25950808557417,1782.0,0.0,87203.0,9.615503363105084,39.28043545074532,1296.0,0.0,282148.0,31.111258132098357,107.89213965918242,3078.0,1.0,130491.0,14.388686735031426,64454.0,7.107068033961848,11565.0,1.2752232881243797,75638.0,8.340280074980704,83,95,2.2355,1.014,3399.37,2969.98,3.3599,1,0.08282845508938702,0,23.77
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,8441.0,1.8621222148687404,6.367961413587294,82.0,0.0,14455.0,3.188837414515773,14.115823649753462,318.0,0.0,22896.0,5.050959629384513,17.803001796765724,388.0,0.0,5038.0,1.1114052503860579,3403.0,0.7507169644826825,1794.0,0.3957643944407677,12661.0,2.7930730200750054,55,95,0.5839,0.4253,416.29,241.01,2.9422,1,0.14024042906092282,0,8.53
Andhra Pradesh,East Godavari,350333.0,21.45990811638591,81.23066788271423,2393.0,0.0,160999.0,9.862113323124042,55.95335149315012,2179.0,0.0,511332.0,31.322021439509953,121.50832977893289,4248.0,0.0,237139.0,14.526125574272587,113194.0,6.933782542113323,19758.0,1.2102909647779478,141241.0,8.651822358346095,154,95,2.176,1.0097,3320.34,5382.44,3.7593,-1,-0.018068141146895922,1,50.55
Andhra Pradesh,Eluru,9210.0,2.0,8.685073127012044,184.0,0.0,18038.0,3.917046688382193,18.09236553543757,541.0,0.0,27248.0,5.917046688382193,22.853119145953904,666.0,0.0,4824.0,1.047557003257329,4386.0,0.952442996742671,2412.0,0.5237785016286645,15626.0,3.3932681867535286,66,95,0.5106,0.3616,412.85,286.82,3.3039,1,0.12724768943235587,0,11.98
Andhra Pradesh,Guntur,342765.0,28.187911184210527,110.30135902916088,2465.0,0.0,182169.0,14.981003289473684,77.16944879250904,1588.0,0.0,524934.0,43.16891447368421,168.09632934602092,3058.0,0.0,219725.0,18.06949013157895,123040.0,10.118421052631579,22815.0,1.876233552631579,159354.0,13.104769736842105,109,95,1.8816,0.8589,4815.91,5525.62,3.8058,1,0.029069430630658366,0,38.04
Andhra Pradesh,Hyderabad,120796.0,18.34133009413908,57.60075018750833,959.0,0.0,37932.0,5.759489826905558,15.618676551935767,414.0,0.0,158728.0,24.10081992104464,65.35299750819668,1095.0,1.0,26996.0,4.098997874278773,93800.0,14.24233221986031,4582.0,0.6957181901002125,33350.0,5.0637716368053445,73,95,3.1845,0.2484,2174.36,1670.82,2.6036,1,0.12102999273716503,0,13.63
Andhra Pradesh,K.V.Rangareddy,811.0,0.9184597961494904,1.1742364264377092,22.0,0.0,535.0,0.6058890147225368,0.7787202254226876,5.0,0.0,1346.0,1.5243488108720271,1.2019572570634702,22.0,1.0,173.0,0.19592298980747452,638.0,0.7225368063420159,50.0,0.056625141562853906,485.0,0.549263873159683,66,86,1.5131,0.1984,20.39,15.65,0.4761,1,0.1170278190607808,0,14.69
Andhra Pradesh,K.v. Rangareddy,414.0,0.9975903614457832,2.019827795764915,35.0,0.0,166.0,0.4,0.53748384988657,2.0,0.0,580.0,1.3975903614457832,1.9606008090057538,35.0,1.0,225.0,0.5421686746987951,189.0,0.45542168674698796,32.0,0.07710843373493977,134.0,0.3228915662650602,63,83,2.479,0.7932,9.21,6.99,0.8177,1,0.08652695651223652,0,22.79
Andhra Pradesh,Kakinada,13667.0,3.7546703296703297,13.100746037719361,188.0,0.0,28928.0,7.947252747252747,42.92135062237794,831.0,0.0,42595.0,11.701923076923077,51.22356579125583,1007.0,0.0,8413.0,2.311263736263736,5254.0,1.4434065934065934,3694.0,1.0148351648351648,25234.0,6.932417582417583,38,95,0.4724,0.3971,1120.92,448.37,4.0327,1,0.14519102841350906,0,7.22
Andhra Pradesh,Karim Nagar,1855.0,1.6577301161751563,6.248428112494221,117.0,0.0,1186.0,1.0598748882931188,1.6334463666229146,20.0,0.0,3041.0,2.7176050044682754,6.5079257569361095,117.0,0.0,426.0,0.3806970509383378,1429.0,1.2770330652368187,84.0,0.07506702412868632,1102.0,0.9848078641644326,74,92,1.5628,0.2014,41.09,33.05,1.7506,1,0.11539062321795251,0,15.13
Andhra Pradesh,Karimnagar,19103.0,3.7347018572825026,12.05257507670987,318.0,0.0,10774.0,2.106353861192571,5.077963608704198,168.0,0.0,29877.0,5.841055718475073,13.78831652964813,318.0,1.0,4855.0,0.9491691104594331,14248.0,2.7855327468230695,1010.0,0.19745845552297164,9764.0,1.9088954056695993,81,95,1.7729,0.2442,368.85,314.49,2.0155,1,0.11788852247654052,0,14.46
Andhra Pradesh,Khammam,46609.0,7.8479542010439465,22.583886893726188,393.0,0.0,33718.0,5.677386765448729,15.400447217869171,330.0,0.0,80327.0,13.525340966492676,31.30892944537149,551.0,1.0,17973.0,3.026267048324634,28636.0,4.821687152719313,4864.0,0.818993096480889,28854.0,4.85839366896784,60,95,1.3823,0.3972,1338.78,845.55,2.1555,1,0.14630119321263557,0,6.92
Andhra Pradesh,Krishna,267539.0,21.76706533235701,83.62892197905515,1790.0,0.0,115839.0,9.424701000732243,45.44366147046071,1254.0,0.0,383378.0,31.19176633308925,112.90432631422135,2476.0,0.0,167306.0,13.61207387519323,100233.0,8.154991457163778,13988.0,1.138068505410463,101851.0,8.286632495321781,112,95,2.3096,0.8971,3423.02,4035.56,3.5072,1,0.04691665588071281,0,33.3
Andhra Pradesh,Kurnool,425769.0,43.37058164408679,180.4916810432902,3884.0,0.0,182009.0,18.54018539268616,96.19820254276848,1889.0,0.0,607778.0,61.910767036772945,255.75336718008882,5188.0,0.0,294913.0,30.041051237648976,130856.0,13.329530406437812,30232.0,3.07955587246613,151777.0,15.460629520220026,86,95,2.3393,1.1504,7067.19,6397.66,4.0653,-1,-0.027735413622542282,1,53.11
Andhra Pradesh,Mahabub Nagar,16970.0,3.4625586614976536,7.450549623807179,223.0,0.0,13510.0,2.7565802897367884,3.9041735984544204,105.0,0.0,30480.0,6.219138951234442,9.266404590452229,223.0,0.0,1007.0,0.20546827178126914,15963.0,3.2570903897163843,455.0,0.09283819628647215,13055.0,2.6637420934503164,68,95,1.256,0.0504,448.24,320.84,1.2836,1,0.10723462763642844,0,17.29
Andhra Pradesh,Mahabubnagar,120.0,0.6521739130434783,0.6433311975166957,4.0,0.0,81.0,0.44021739130434784,0.5192596205903854,2.0,0.0,201.0,1.0923913043478262,0.4010188378857943,4.0,1.0,39.0,0.21195652173913043,81.0,0.44021739130434784,13.0,0.07065217391304347,68.0,0.3695652173913043,52,71,1.4634,0.3467,3.87,2.83,0.1917,1,0.1239111564101491,0,12.86
Andhra Pradesh,Mahbubnagar,16595.0,3.8548199767711964,15.397069967647573,267.0,0.0,10321.0,2.397444831591173,7.875851460034452,209.0,0.0,26916.0,6.252264808362369,20.000069937250636,386.0,0.0,3455.0,0.8025551684088269,13140.0,3.052264808362369,1310.0,0.3042973286875726,9011.0,2.0931475029036006,70,94,1.6077,0.2151,384.51,286.34,2.7578,1,0.1364091718031739,0,9.55
Andhra Pradesh,Medak,25629.0,5.059020923805764,15.514890168115452,339.0,0.0,13415.0,2.648045795499408,7.599909928979648,285.0,0.0,39044.0,7.707066719305172,19.624245570657315,551.0,1.0,7211.0,1.4234109751283064,18418.0,3.6356099486774576,1790.0,0.3533359652585867,11625.0,2.294709830240821,75,95,1.9103,0.2996,520.59,410.99,2.2538,1,0.13289197065960207,0,10.48
Andhra Pradesh,N. T. R,16080.0,4.2382709541381125,15.55903179363191,214.0,0.0,38908.0,10.255139694254085,50.20855273165439,788.0,0.0,54988.0,14.493410648392198,61.044006841192676,970.0,0.0,8050.0,2.121771217712177,8030.0,2.1164997364259355,4816.0,1.2693726937269372,34092.0,8.985767000527147,39,95,0.4133,0.3054,1409.95,578.82,3.94,1,0.1441499948568709,0,7.49
Andhra Pradesh,Nalgonda,37578.0,6.252579034941764,18.652253777520333,370.0,0.0,31049.0,5.166222961730449,12.011566950207056,402.0,0.0,68627.0,11.418801996672213,25.057520366256743,658.0,1.0,6506.0,1.0825291181364394,31072.0,5.170049916805325,1702.0,0.2831946755407654,29347.0,4.883028286189684,57,95,1.2102,0.1358,1203.98,722.39,2.0177,1,0.13839889277306372,0,9.02
Andhra Pradesh,Nandyal,13127.0,3.391989664082687,15.001321141781455,265.0,0.0,27766.0,7.174677002583979,47.69747735108028,1011.0,0.0,40893.0,10.566666666666666,60.76158829854106,1276.0,0.0,7816.0,2.019638242894057,5311.0,1.3723514211886305,4863.0,1.2565891472868218,22903.0,5.918087855297157,51,95,0.4728,0.4494,801.82,430.45,5.2532,1,0.10952004778381924,0,16.68
Andhra Pradesh,Nellore,174909.0,19.423542476401998,75.28825297544442,1813.0,0.0,70635.0,7.843975569128262,32.353812601909155,1445.0,0.0,245544.0,27.26751804553026,88.1014611300299,2005.0,0.0,108176.0,12.012881732370905,66733.0,7.410660744031094,7449.0,0.8272071071626874,63186.0,7.016768461965575,82,95,2.4762,0.89,2994.44,2584.67,3.1167,1,0.09967190237655782,0,19.3
Andhra Pradesh,Nizamabad,12449.0,4.201484981437732,14.71574821745814,300.0,0.0,5750.0,1.9406007424907188,6.274971605227716,201.0,0.0,18199.0,6.142085723928451,17.996428315366835,408.0,1.0,3929.0,1.3260209247384407,8520.0,2.875464056699291,748.0,0.2524468444144448,5002.0,1.688153898076274,52,95,2.1647,0.3459,349.98,191.57,2.5198,1,0.1512897487078107,0,5.6
Andhra Pradesh,Palnadu,12173.0,3.348830811554333,15.0221234991058,247.0,0.0,25906.0,7.1268225584594225,47.45167728500541,1009.0,0.0,38079.0,10.475653370013756,59.171784735502065,1254.0,0.0,7300.0,2.0082530949105917,4873.0,1.3405777166437414,4013.0,1.1039889958734526,21893.0,6.02283356258597,44,95,0.4699,0.4226,865.43,400.83,5.1563,1,0.11252216720662983,0,15.89
Andhra Pradesh,Parvathipuram Manyam,11922.0,4.9592346089850246,17.44363737318544,228.0,0.0,9590.0,3.9891846921797005,15.422658434136084,230.0,0.0,21512.0,8.948419301164725,27.031520910974336,348.0,0.0,5678.0,2.3618968386023296,6244.0,2.5973377703826954,1546.0,0.6430948419301165,8044.0,3.346089850249584,27,95,1.243,0.5056,796.74,226.44,2.7172,1,0.16558027800249758,0,1.8
Andhra Pradesh,Prakasam,239263.0,20.861714186066788,76.46063265884214,1898.0,0.0,124332.0,10.84070102014125,44.914781884556994,1449.0,0.0,363595.0,31.702415206208038,103.04094217414193,2702.0,1.0,152495.0,13.296276920394106,86768.0,7.565437265672683,16194.0,1.4119801203243525,108138.0,9.428720899816899,100,95,1.9244,0.8655,3635.95,3827.32,3.1509,1,0.07122685483010299,0,26.85
Andhra Pradesh,Rangareddi,61196.0,10.45192143467122,38.255712310815845,948.0,0.0,23175.0,3.9581554227156275,12.392239628893222,460.0,0.0,84371.0,14.41007685738685,44.70216589892364,1166.0,0.0,15065.0,2.573014517506405,46131.0,7.878906917164817,3757.0,0.6416737830913749,19418.0,3.3164816396242527,69,95,2.6405,0.2871,1222.77,888.12,2.9008,1,0.14227204322990622,0,7.99
Andhra Pradesh,Sri Potti Sriramulu Nellore,11304.0,2.2265117195194013,10.903252378785472,229.0,0.0,22561.0,4.4437660035454005,30.782266173800892,926.0,0.0,33865.0,6.670277723064802,37.44994569826611,1145.0,0.0,7482.0,1.473704943864487,3822.0,0.7528067756549143,3105.0,0.6115816427023832,19456.0,3.8321843608430175,71,95,0.501,0.4548,476.97,356.47,4.8825,1,0.08956445131574964,0,21.98
Andhra Pradesh,Sri Sathya Sai,12012.0,2.7760573145366303,10.85047365055861,206.0,0.0,22743.0,5.256066558816732,30.49663767439877,782.0,0.0,34755.0,8.032123873353363,37.63649080759419,920.0,0.0,6512.0,1.5049688005546569,5500.0,1.2710885139819736,4083.0,0.9436098913797089,18660.0,4.312456667437023,51,95,0.5281,0.4385,681.47,365.84,4.167,1,0.1299989555819947,0,11.25
Andhra Pradesh,Srikakulam,231778.0,29.783860190182473,114.05968809071497,2257.0,0.0,139096.0,17.874068362888718,83.99058749459589,1482.0,0.0,370874.0,47.65792855307119,181.55244559975654,3661.0,0.0,151056.0,19.41094834232845,80722.0,10.372911847854022,25131.0,3.2293754818812643,113965.0,14.644692881007453,67,95,1.6663,0.905,5535.43,3903.94,3.7312,1,0.09251770282206917,0,21.2
Andhra Pradesh,Tirupati,12052.0,2.6086580086580087,12.964257605045468,309.0,0.0,34030.0,7.365800865800866,69.0731698422949,1936.0,0.0,46082.0,9.974458874458874,78.78254591083008,2226.0,0.0,6540.0,1.4155844155844155,5512.0,1.1930735930735932,4861.0,1.052164502164502,29169.0,6.3136363636363635,59,95,0.3541,0.3287,781.05,485.07,7.1787,1,0.04248530978082071,0,34.48
Andhra Pradesh,Visakhapatnam,361197.0,34.564306220095695,128.32082532652893,1988.0,0.0,162085.0,15.510526315789473,69.90298935365095,1234.0,0.0,523282.0,50.074832535885164,176.75380368884893,2691.0,0.0,226263.0,21.65196172248804,134934.0,12.912344497607656,20578.0,1.9691866028708134,141507.0,13.54133971291866,94,95,2.2284,0.8929,5566.83,5508.23,3.4607,1,0.029114228217355653,0,38.02
Andhra Pradesh,Vizianagaram,184658.0,24.57519297311685,85.2605967719088,1360.0,0.0,81851.0,10.893132818738355,50.13527446281385,1185.0,0.0,266509.0,35.4683257918552,119.14235141925336,2224.0,0.0,116129.0,15.455017301038062,68529.0,9.120175672078787,11571.0,1.539925472451424,70280.0,9.353207346286931,70,95,2.256,0.92,3807.27,2805.36,3.267,1,0.10539326078937405,0,17.78
Andhra Pradesh,Warangal,59253.0,8.471975979410924,29.29218626314748,658.0,0.0,36151.0,5.168859022018873,16.054041338990874,581.0,0.0,95404.0,13.640835001429798,38.45057849542519,1145.0,0.0,15753.0,2.25235916499857,43500.0,6.219616814412354,3779.0,0.540320274521018,32372.0,4.628538747497855,73,95,1.639,0.2574,1306.9,1004.25,2.6263,1,0.14167416148334477,0,8.15
Andhra Pradesh,West Godavari,256593.0,19.63671845105992,69.63322517267106,1186.0,0.0,131092.0,10.032295094512895,47.067318750619435,1058.0,0.0,387685.0,29.669013545572817,103.37534410947445,1876.0,0.0,162911.0,12.467360526517181,93682.0,7.169357924542742,14876.0,1.1384403459095431,116216.0,8.893854748603353,118,95,1.9573,0.847,3285.47,4080.89,3.3707,1,0.04301065312107766,0,34.34
Andhra Pradesh,Y. S. R,10389.0,2.558866995073892,12.406128737476665,277.0,0.0,28905.0,7.119458128078818,47.66125508178955,1122.0,0.0,39294.0,9.678325123152709,56.98790277314224,1399.0,0.0,6201.0,1.5273399014778326,4188.0,1.0315270935960592,4278.0,1.053694581280788,24627.0,6.0657635467980295,61,95,0.3594,0.3637,644.16,413.62,5.3368,1,0.08934570700105049,0,22.04
Arunachal Pradesh,Anjaw,1405.0,13.130841121495328,32.09099212708973,190.0,0.0,777.0,7.261682242990654,16.186610148105657,117.0,0.0,2182.0,20.39252336448598,41.89424173728859,251.0,1.0,808.0,7.5514018691588785,597.0,5.579439252336448,133.0,1.2429906542056075,644.0,6.018691588785047,1,86,1.8059,0.7576,2182.0,25.37,1.9584,1,0.13152563597055134,0,10.84
Arunachal Pradesh,Changlang,9490.0,14.422492401215806,35.12505484837228,329.0,0.0,5907.0,8.977203647416413,24.50150363648263,318.0,0.0,15397.0,23.39969604863222,48.733298351829404,475.0,1.0,6457.0,9.81306990881459,3033.0,4.609422492401216,751.0,1.141337386018237,5156.0,7.835866261398176,8,95,1.6063,0.8801,1924.62,162.07,1.9973,1,0.13231209000342414,0,10.63
Arunachal Pradesh,Dibang Valley,537.0,4.752212389380531,10.211627627936249,58.0,0.0,162.0,1.4336283185840708,1.4752488058598445,7.0,0.0,699.0,6.185840707964601,10.012981460304395,58.0,0.0,373.0,3.3008849557522124,164.0,1.4513274336283186,28.0,0.24778761061946902,134.0,1.1858407079646018,2,76,3.2945,1.3411,349.5,9.2,1.3934,1,0.07285422931017288,0,26.42
Arunachal Pradesh,East Kameng,4727.0,24.3659793814433,70.29563830040769,493.0,0.0,1539.0,7.93298969072165,14.217067912582445,79.0,0.0,6266.0,32.29896907216495,72.09868955259246,493.0,1.0,3034.0,15.639175257731958,1693.0,8.72680412371134,313.0,1.6134020618556701,1226.0,6.319587628865979,2,92,3.0695,1.1462,3133.0,68.11,2.1652,1,0.09194886891556042,0,21.35
Arunachal Pradesh,East Siang,3866.0,17.106194690265486,36.71859664029983,292.0,0.0,2681.0,11.86283185840708,16.14004650793391,170.0,0.0,6547.0,28.969026548672566,39.98581877426273,292.0,1.0,2679.0,11.853982300884956,1187.0,5.252212389380531,471.0,2.084070796460177,2210.0,9.778761061946902,3,90,1.4415,0.927,2182.33,72.74,1.3342,1,0.10437006629294115,0,18.05
Arunachal Pradesh,Kamle,153.0,2.25,8.436549835941722,66.0,0.0,331.0,4.867647058823529,10.075690283029914,45.0,0.0,484.0,7.117647058823529,12.877759854052565,66.0,1.0,59.0,0.8676470588235294,94.0,1.3823529411764706,65.0,0.9558823529411765,266.0,3.911764705882353,1,51,0.4608,0.3435,484.0,9.49,1.5864,1,0.1421817045688457,0,8.02
Arunachal Pradesh,Kra Daadi,1313.0,11.82882882882883,37.71565237498133,207.0,0.0,534.0,4.8108108108108105,12.69252715972062,131.0,0.0,1847.0,16.63963963963964,44.436224533347264,328.0,1.0,766.0,6.900900900900901,547.0,4.927927927927928,150.0,1.3513513513513513,384.0,3.4594594594594597,1,86,2.4542,0.9828,1847.0,21.48,2.5191,1,0.1248024916492167,0,12.63
Arunachal Pradesh,Kurung Kumey,3573.0,31.901785714285715,102.37653164185983,629.0,0.0,374.0,3.3392857142857144,3.9989944038415755,20.0,0.0,3947.0,35.24107142857143,101.79003699416815,629.0,1.0,1452.0,12.964285714285714,2121.0,18.9375,115.0,1.0267857142857142,259.0,2.3125,1,90,9.528,0.6581,3947.0,43.86,2.8087,1,0.04548249025230633,0,33.68
Arunachal Pradesh,Leparada,39.0,1.0,1.1920791213585393,5.0,0.0,26.0,0.6666666666666666,0.5773502691896257,2.0,0.0,65.0,1.6666666666666667,1.0344928412495136,5.0,1.0,37.0,0.9487179487179487,2.0,0.05128205128205128,8.0,0.20512820512820512,18.0,0.46153846153846156,1,30,1.4444,2.1429,65.0,2.17,0.3879,1,0.016318234204019677,0,41.42
Arunachal Pradesh,Lohit,4266.0,11.255936675461742,33.475181288257325,247.0,0.0,1935.0,5.105540897097625,11.507046192415373,137.0,0.0,6201.0,16.361477572559366,39.292670586665004,365.0,1.0,2034.0,5.366754617414248,2232.0,5.889182058047494,218.0,0.575197889182058,1717.0,4.530343007915567,5,94,2.2035,0.5701,1240.2,65.97,2.2632,1,0.15301983361281263,0,5.14
Arunachal Pradesh,Longding,2797.0,8.553516819571865,32.75353273016053,338.0,0.0,1582.0,4.837920489296636,19.24035969157395,330.0,0.0,4379.0,13.391437308868502,43.412202350934464,562.0,1.0,1744.0,5.333333333333333,1053.0,3.220183486238532,268.0,0.8195718654434251,1314.0,4.018348623853211,5,90,1.7669,0.8497,875.8,48.66,3.0165,1,0.14287491001880165,0,7.83
Arunachal Pradesh,Lower Dibang Valley,2571.0,22.163793103448278,43.76636468409466,253.0,0.0,1220.0,10.517241379310345,26.993230313517884,285.0,0.0,3791.0,32.68103448275862,58.358204093404844,482.0,1.0,1624.0,14.0,947.0,8.163793103448276,198.0,1.706896551724138,1022.0,8.810344827586206,1,89,2.1057,0.9249,3791.0,42.6,1.7327,1,0.10577345696910023,0,17.68
Arunachal Pradesh,Lower Siang,456.0,2.4,4.605954278411241,26.0,0.0,352.0,1.8526315789473684,4.6529695156193736,44.0,0.0,808.0,4.252631578947368,7.85175937693478,70.0,1.0,384.0,2.0210526315789474,72.0,0.37894736842105264,70.0,0.3684210526315789,282.0,1.4842105263157894,3,82,1.2918,1.2789,269.33,9.85,1.4948,1,0.08719172212012555,0,22.61
Arunachal Pradesh,Lower Subansiri,2867.0,14.335,48.68866093370805,430.0,0.0,1552.0,7.76,23.874933765595205,321.0,0.0,4419.0,22.095,59.25760112810244,530.0,1.0,1654.0,8.27,1213.0,6.065,201.0,1.005,1351.0,6.755,3,92,1.8461,0.7232,1473.0,48.03,2.5658,1,0.14744687954436775,0,6.62
