state,district,total_auth_sum,is_anomaly,anomaly_severity,QDI,qdi_status,needs_audit,bio_ratio,demo_ratio,DLI,load_status,recommendation,load_ratio,surge_score,surge_level,priority_score,priority_level
Andhra Pradesh,Ananthapuramu,186539.0,1,47.05,-9.35,Good,0,0.6935,0.3065,35.31,Optimal,Optimal: Maintain current allocation,0.0,53.47,Elevated,45.94,High
Andhra Pradesh,Annamayya,46289.0,0,33.18,33.73,Concern,1,0.2627,0.7373,42.93,Moderate,Monitor: Review weekly,0.0,38.78,Normal,26.88,Medium
Andhra Pradesh,Bapatla,20742.0,0,14.09,26.35,Concern,1,0.3365,0.6635,21.24,Optimal,Optimal: Maintain current allocation,0.0,37.99,Normal,18.08,Medium
Andhra Pradesh,Chittoor,474550.0,0,39.42,-3.45,Good,0,0.6345,0.3655,33.69,Optimal,Optimal: Maintain current allocation,0.0,93.38,Elevated,19.44,Medium
Andhra Pradesh,Cuddapah,282148.0,0,23.77,-9.09,Good,0,0.6909,0.3091,31.05,Optimal,Optimal: Maintain current allocation,0.0,89.88,Elevated,18.3,Medium
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,22896.0,0,8.53,23.13,Concern,1,0.3687,0.6313,19.56,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,24.01,Normal,15.21,Medium
Andhra Pradesh,East Godavari,511332.0,1,50.55,-8.51,Good,0,0.6851,0.3149,30.75,Optimal,Optimal: Maintain current allocation,0.0,134.38,Critical,49.22,High
Andhra Pradesh,Eluru,27248.0,0,11.98,26.2,Concern,1,0.338,0.662,31.41,Optimal,Optimal: Maintain current allocation,0.0,40.87,Normal,21.37,Medium
Andhra Pradesh,Guntur,524934.0,0,38.04,-5.3,Good,0,0.653,0.347,31.56,Optimal,Optimal: Maintain current allocation,0.0,113.78,Critical,19.47,Medium
Andhra Pradesh,Hyderabad,158728.0,0,13.63,-16.1,Good,0,0.761,0.239,27.42,Optimal,Optimal: Maintain current allocation,0.0,99.46,Critical,18.17,Medium
Andhra Pradesh,K.V.Rangareddy,1346.0,0,14.69,-0.21,Good,0,0.6021,0.3972,9.87,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,46.72,Elevated,7.63,Low
Andhra Pradesh,K.v. Rangareddy,580.0,0,22.79,-11.26,Good,0,0.7126,0.2857,6.93,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,47.46,Elevated,6.82,Low
Andhra Pradesh,Kakinada,42595.0,0,7.22,27.91,Concern,1,0.3209,0.6791,25.08,Optimal,Optimal: Maintain current allocation,0.0,29.79,Normal,18.88,Medium
Andhra Pradesh,Karim Nagar,3041.0,0,15.13,-0.98,Good,0,0.6098,0.3899,25.71,Optimal,Optimal: Maintain current allocation,0.0,50.94,Elevated,12.81,Low
Andhra Pradesh,Karimnagar,29877.0,0,14.46,-3.94,Good,0,0.6394,0.3606,21.99,Optimal,Optimal: Maintain current allocation,0.0,41.33,Normal,10.73,Low
Andhra Pradesh,Khammam,80327.0,0,6.92,1.98,Watch,0,0.5802,0.4198,25.44,Optimal,Optimal: Maintain current allocation,0.0,53.32,Elevated,13.56,Low
Andhra Pradesh,Krishna,383378.0,0,33.3,-9.78,Good,0,0.6978,0.3022,30.78,Optimal,Optimal: Maintain current allocation,0.0,104.59,Critical,19.23,Medium
Andhra Pradesh,Kurnool,607778.0,1,53.11,-10.05,Good,0,0.7005,0.2995,30.61,Optimal,Optimal: Maintain current allocation,0.001,129.2,Critical,49.18,High
Andhra Pradesh,Mahabub Nagar,30480.0,0,17.29,4.33,Watch,0,0.5567,0.4432,20.91,Optimal,Optimal: Maintain current allocation,0.0,33.8,Normal,10.95,Low
Andhra Pradesh,Mahabubnagar,201.0,0,12.86,0.59,Watch,0,0.5941,0.401,0.0,Optimal,Consider: Reallocate resources to high-load areas,0.0,17.8,Normal,1.96,Low
Andhra Pradesh,Mahbubnagar,26916.0,0,9.55,-1.65,Good,0,0.6165,0.3834,29.94,Optimal,Optimal: Maintain current allocation,0.0,35.24,Normal,12.51,Low
Andhra Pradesh,Medak,39044.0,0,10.48,-5.64,Good,0,0.6564,0.3436,24.84,Optimal,Optimal: Maintain current allocation,0.0,34.51,Normal,10.9,Low
Andhra Pradesh,N. T. R,54988.0,0,7.49,30.76,Concern,1,0.2924,0.7076,24.93,Optimal,Optimal: Maintain current allocation,0.0,39.71,Normal,20.68,Medium
Andhra Pradesh,Nalgonda,68627.0,0,9.02,5.24,Watch,0,0.5476,0.4524,23.49,Optimal,Optimal: Maintain current allocation,0.0,48.08,Elevated,13.43,Low
Andhra Pradesh,Nandyal,40893.0,0,16.68,27.9,Concern,1,0.321,0.679,28.53,Optimal,Optimal: Maintain current allocation,0.0,29.21,Normal,19.85,Medium
Andhra Pradesh,Nellore,245544.0,0,19.3,-11.23,Good,0,0.7123,0.2877,30.45,Optimal,Optimal: Maintain current allocation,0.0,64.91,Elevated,15.63,Medium
Andhra Pradesh,Nizamabad,18199.0,0,5.6,-8.4,Good,0,0.684,0.3159,29.67,Optimal,Optimal: Maintain current allocation,0.0,54.94,Elevated,14.4,Low
Andhra Pradesh,Palnadu,38079.0,0,15.89,28.03,Concern,1,0.3197,0.6803,28.14,Optimal,Optimal: Maintain current allocation,0.0,58.43,Elevated,22.69,Medium
Andhra Pradesh,Parvathipuram Manyam,21512.0,0,1.8,4.58,Watch,0,0.5542,0.4458,19.86,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,39.32,Normal,11.26,Low
Andhra Pradesh,Prakasam,363595.0,0,26.85,-5.8,Good,0,0.658,0.342,24.66,Optimal,Optimal: Maintain current allocation,0.0,107.07,Critical,17.4,Medium
Andhra Pradesh,Rangareddi,84371.0,0,7.99,-12.53,Good,0,0.7253,0.2747,29.82,Optimal,Optimal: Maintain current allocation,0.0,68.64,Elevated,15.81,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,33865.0,0,21.98,26.62,Concern,1,0.3338,0.6662,34.53,Optimal,Optimal: Maintain current allocation,0.0,31.6,Normal,21.5,Medium
Andhra Pradesh,Sri Sathya Sai,34755.0,0,11.25,25.44,Concern,1,0.3456,0.6544,27.06,Optimal,Optimal: Maintain current allocation,0.0,57.76,Elevated,21.53,Medium
Andhra Pradesh,Srikakulam,370874.0,0,21.2,-2.49,Good,0,0.6249,0.375,25.39,Optimal,Optimal: Maintain current allocation,0.001,85.27,Elevated,16.14,Medium
Andhra Pradesh,Tirupati,46082.0,0,34.48,33.85,Concern,1,0.2615,0.7385,43.56,Moderate,Monitor: Review weekly,0.0,60.2,Elevated,29.24,Medium
Andhra Pradesh,Visakhapatnam,523282.0,0,38.02,-9.03,Good,0,0.6903,0.3097,25.68,Optimal,Optimal: Maintain current allocation,0.0,115.38,Critical,17.7,Medium
Andhra Pradesh,Vizianagaram,266509.0,0,17.78,-9.29,Good,0,0.6929,0.3071,27.36,Optimal,Optimal: Maintain current allocation,0.0,77.21,Elevated,15.93,Medium
Andhra Pradesh,Warangal,95404.0,0,8.15,-2.11,Good,0,0.6211,0.3789,28.68,Optimal,Optimal: Maintain current allocation,0.0,52.86,Elevated,13.89,Low
Andhra Pradesh,West Godavari,387685.0,0,34.34,-6.19,Good,0,0.6619,0.3381,27.3,Optimal,Optimal: Maintain current allocation,0.0,91.27,Elevated,17.32,Medium
Andhra Pradesh,Y. S. R,39294.0,0,22.04,33.56,Concern,1,0.2644,0.7356,34.71,Optimal,Optimal: Maintain current allocation,0.0,57.13,Elevated,26.19,Medium
Arunachal Pradesh,Anjaw,2182.0,0,10.84,-4.36,Good,0,0.6436,0.3559,26.47,Optimal,Optimal: Maintain current allocation,0.016,39.22,Normal,11.86,Low
Arunachal Pradesh,Changlang,15397.0,0,10.63,-1.63,Good,0,0.6163,0.3836,40.02,Moderate,Monitor: Review weekly,0.003,55.23,Elevated,17.53,Medium
Arunachal Pradesh,Dibang Valley,699.0,0,26.42,-16.71,Good,0,0.7671,0.2314,16.5,Under-utilized,Consider: Reallocate resources to high-load areas,0.003,28.85,Normal,7.84,Low
Arunachal Pradesh,East Kameng,6266.0,0,21.35,-15.43,Good,0,0.7543,0.2456,29.83,Optimal,Optimal: Maintain current allocation,0.01,50.66,Elevated,14.02,Low
Arunachal Pradesh,East Siang,6547.0,0,18.05,0.96,Watch,0,0.5904,0.4094,33.43,Optimal,Optimal: Maintain current allocation,0.013,19.7,Normal,12.29,Low
Arunachal Pradesh,Kamle,484.0,0,8.02,28.45,Concern,1,0.3155,0.6825,9.09,Under-utilized,Consider: Reallocate resources to high-load areas,0.003,49.88,Elevated,16.25,Medium
Arunachal Pradesh,Kra Daadi,1847.0,0,12.63,-11.05,Good,0,0.7105,0.289,28.02,Optimal,Optimal: Maintain current allocation,0.012,50.4,Elevated,13.45,Low
Arunachal Pradesh,Kurung Kumey,3947.0,0,33.68,-30.5,Excellent,0,0.905,0.0947,32.12,Optimal,Optimal: Maintain current allocation,0.014,21.27,Normal,11.76,Low
Arunachal Pradesh,Leparada,65.0,0,41.42,0.91,Watch,0,0.5909,0.3939,6.87,Under-utilized,Consider: Reallocate resources to high-load areas,0.003,29.05,Normal,5.24,Low
Arunachal Pradesh,Lohit,6201.0,0,5.14,-8.78,Good,0,0.6878,0.312,34.32,Optimal,Optimal: Maintain current allocation,0.006,51.64,Elevated,15.46,Medium
Arunachal Pradesh,Longding,4379.0,0,7.83,-3.86,Good,0,0.6386,0.3612,29.67,Optimal,Optimal: Maintain current allocation,0.003,50.59,Elevated,13.96,Low
Arunachal Pradesh,Lower Dibang Valley,3791.0,0,17.68,-7.8,Good,0,0.678,0.3217,27.47,Optimal,Optimal: Maintain current allocation,0.032,25.21,Normal,10.76,Low
Arunachal Pradesh,Lower Siang,808.0,0,22.61,3.63,Watch,0,0.5637,0.4351,16.07,Under-utilized,Consider: Reallocate resources to high-load areas,0.002,39.96,Normal,9.91,Low
Arunachal Pradesh,Lower Subansiri,4419.0,0,6.62,-4.86,Good,0,0.6486,0.3511,27.8,Optimal,Optimal: Maintain current allocation,0.008,50.32,Elevated,13.37,Low
Arunachal Pradesh,Namsai,8651.0,0,13.29,-14.33,Good,0,0.7433,0.2566,30.74,Optimal,Optimal: Maintain current allocation,0.008,52.08,Elevated,14.43,Low
Arunachal Pradesh,Pakke Kessang,170.0,0,9.2,13.22,Watch,0,0.4678,0.5263,6.84,Under-utilized,Consider: Reallocate resources to high-load areas,0.003,27.2,Normal,8.74,Low
Arunachal Pradesh,Papum Pare,15713.0,0,5.1,-7.42,Good,0,0.6742,0.3257,27.65,Optimal,Optimal: Maintain current allocation,0.002,52.7,Elevated,13.57,Low
Arunachal Pradesh,Shi-yomi,839.0,0,10.49,-9.76,Good,0,0.6976,0.3012,15.19,Under-utilized,Consider: Reallocate resources to high-load areas,0.004,30.39,Normal,7.6,Low
Arunachal Pradesh,Siang,2210.0,0,14.94,-3.27,Good,0,0.6327,0.3668,19.44,Under-utilized,Consider: Reallocate resources to high-load areas,0.006,50.47,Elevated,10.88,Low
Arunachal Pradesh,Tawang,3689.0,0,31.91,-13.2,Good,0,0.732,0.2678,26.33,Optimal,Optimal: Maintain current allocation,0.005,50.64,Elevated,12.96,Low
Arunachal Pradesh,Tirap,3158.0,0,15.23,-6.86,Good,0,0.6686,0.3311,19.09,Under-utilized,Consider: Reallocate resources to high-load areas,0.001,45.78,Normal,10.3,Low
Arunachal Pradesh,Upper Siang,3317.0,0,12.39,0.6,Watch,0,0.594,0.4057,39.71,Optimal,Optimal: Maintain current allocation,0.005,52.2,Elevated,17.31,Medium
Arunachal Pradesh,Upper Subansiri,6555.0,0,21.46,-15.2,Good,0,0.752,0.2479,26.33,Optimal,Optimal: Maintain current allocation,0.035,50.6,Elevated,12.96,Low
Arunachal Pradesh,West Kameng,8712.0,0,9.5,-17.61,Good,0,0.7761,0.2238,30.5,Optimal,Optimal: Maintain current allocation,0.002,52.19,Elevated,14.37,Low
Arunachal Pradesh,West Siang,9254.0,0,10.85,0.53,Watch,0,0.5947,0.4052,35.47,Optimal,Optimal: Maintain current allocation,0.004,51.65,Elevated,15.96,Medium
Assam,Bajali,876.0,0,9.17,57.26,Critical,1,0.0274,0.9715,15.57,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,50.1,Elevated,26.86,Medium
Assam,Baksa,38127.0,0,2.19,6.56,Watch,0,0.5344,0.4656,29.68,Optimal,Optimal: Maintain current allocation,0.001,48.1,Elevated,15.68,Medium
Assam,Barpeta,170514.0,0,10.67,-3.83,Good,0,0.6383,0.3617,28.14,Optimal,Optimal: Maintain current allocation,0.003,69.27,Elevated,15.37,Medium
Assam,Biswanath,22348.0,0,2.23,11.0,Watch,0,0.49,0.5099,25.9,Optimal,Optimal: Maintain current allocation,0.001,41.12,Normal,15.18,Medium
Assam,Bongaigaon,84991.0,0,8.26,7.18,Watch,0,0.5282,0.4718,34.54,Optimal,Optimal: Maintain current allocation,0.004,48.66,Elevated,17.38,Medium
Assam,Cachar,135613.0,0,9.17,4.61,Watch,0,0.5539,0.4461,28.53,Optimal,Optimal: Maintain current allocation,0.0,55.62,Elevated,15.5,Medium
Assam,Charaideo,19688.0,0,5.74,12.77,Watch,0,0.4723,0.5277,26.39,Optimal,Optimal: Maintain current allocation,0.002,34.75,Normal,15.22,Medium
Assam,Chirang,44565.0,0,6.59,-8.45,Good,0,0.6845,0.3155,30.66,Optimal,Optimal: Maintain current allocation,0.003,55.24,Elevated,14.72,Low
Assam,Darrang,59411.0,0,2.08,10.21,Watch,0,0.4979,0.5021,29.79,Optimal,Optimal: Maintain current allocation,0.003,53.02,Elevated,17.3,Medium
Assam,Dhemaji,47248.0,0,0.87,9.65,Watch,0,0.5035,0.4964,32.09,Optimal,Optimal: Maintain current allocation,0.002,42.06,Normal,16.73,Medium
Assam,Dhubri,153260.0,0,7.56,15.18,Watch,0,0.4482,0.5518,28.63,Optimal,Optimal: Maintain current allocation,0.004,74.05,Elevated,20.55,Medium
Assam,Dibrugarh,56894.0,0,1.31,8.71,Watch,0,0.5129,0.4871,25.66,Optimal,Optimal: Maintain current allocation,0.001,32.02,Normal,13.51,Low
Assam,Dima Hasao,306.0,0,7.53,51.86,Critical,1,0.0814,0.9153,12.3,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,49.85,Elevated,24.23,Medium
Assam,Goalpara,75299.0,0,6.14,16.38,Watch,0,0.4362,0.5637,34.97,Optimal,Optimal: Maintain current allocation,0.005,69.94,Elevated,22.4,Medium
Assam,Golaghat,52067.0,0,1.46,16.09,Watch,0,0.4391,0.5609,35.74,Optimal,Optimal: Maintain current allocation,0.001,43.9,Normal,19.94,Medium
Assam,Hailakandi,46529.0,0,3.64,8.3,Watch,0,0.517,0.483,26.6,Optimal,Optimal: Maintain current allocation,0.002,39.21,Normal,14.39,Low
Assam,Hojai,60482.0,0,6.08,4.23,Watch,0,0.5577,0.4423,26.92,Optimal,Optimal: Maintain current allocation,0.007,47.4,Elevated,14.08,Low
Assam,Jorhat,39577.0,0,3.19,12.53,Watch,0,0.4747,0.5253,25.83,Optimal,Optimal: Maintain current allocation,0.0,28.43,Normal,14.35,Low
Assam,Kamrup,96152.0,0,8.04,8.95,Watch,0,0.5105,0.4895,38.4,Optimal,Optimal: Maintain current allocation,0.0,53.14,Elevated,19.52,Medium
Assam,Kamrup Metro,58222.0,0,3.24,7.63,Watch,0,0.5237,0.4763,24.51,Optimal,Optimal: Maintain current allocation,0.0,53.42,Elevated,14.98,Low
Assam,Karbi Anglong,77959.0,0,4.64,1.49,Watch,0,0.5851,0.4148,41.2,Moderate,Monitor: Review weekly,0.001,53.86,Elevated,18.19,Medium
Assam,Karimganj,85886.0,0,11.28,10.88,Watch,0,0.4912,0.5088,27.68,Optimal,Optimal: Maintain current allocation,0.002,53.8,Elevated,16.95,Medium
Assam,Kokrajhar,56244.0,0,1.61,1.85,Watch,0,0.5815,0.4185,29.06,Optimal,Optimal: Maintain current allocation,0.002,42.05,Normal,13.48,Low
Assam,Lakhimpur,71784.0,0,2.23,11.57,Watch,0,0.4843,0.5157,31.89,Optimal,Optimal: Maintain current allocation,0.003,60.81,Elevated,19.12,Medium
Assam,Majuli,7116.0,0,4.24,8.85,Watch,0,0.5115,0.4884,24.18,Optimal,Optimal: Maintain current allocation,0.003,51.79,Elevated,15.09,Medium
Assam,Marigaon,84430.0,0,5.99,13.88,Watch,0,0.4612,0.5388,28.78,Optimal,Optimal: Maintain current allocation,0.004,65.73,Elevated,19.37,Medium
Assam,Nagaon,238713.0,0,11.25,2.58,Watch,0,0.5742,0.4258,49.76,Moderate,Monitor: Review weekly,0.002,109.92,Critical,25.7,Medium
Assam,Nalbari,46491.0,0,6.77,7.1,Watch,0,0.529,0.471,36.64,Optimal,Optimal: Maintain current allocation,0.001,41.1,Normal,17.23,Medium
Assam,North Cachar Hills,8232.0,0,8.0,5.28,Watch,0,0.5472,0.4527,22.19,Optimal,Optimal: Maintain current allocation,0.002,33.91,Normal,11.63,Low
Assam,Sibsagar,26902.0,0,4.26,11.47,Watch,0,0.4853,0.5147,28.56,Optimal,Optimal: Maintain current allocation,0.0,44.8,Normal,16.49,Medium
Assam,Sonitpur,80573.0,0,3.8,16.77,Watch,0,0.4323,0.5676,28.39,Optimal,Optimal: Maintain current allocation,0.001,52.56,Elevated,18.8,Medium
Assam,South Salmara Mankachar,27339.0,0,23.16,39.14,Concern,1,0.2086,0.7914,26.09,Optimal,Optimal: Maintain current allocation,0.017,57.95,Elevated,25.36,Medium
Assam,Sribhumi,5616.0,0,15.33,52.24,Critical,1,0.0776,0.9222,20.43,Optimal,Optimal: Maintain current allocation,0.0,53.0,Elevated,27.1,Medium
Assam,Tamulpur District,1374.0,0,12.0,53.45,Critical,1,0.0655,0.9338,15.52,Under-utilized,Consider: Reallocate resources to high-load areas,0.001,42.81,Normal,24.97,Medium
Assam,Tinsukia,58927.0,0,3.62,23.01,Concern,1,0.3699,0.6301,25.6,Optimal,Optimal: Maintain current allocation,0.001,50.05,Elevated,19.59,Medium
Assam,Udalguri,46722.0,0,1.81,4.37,Watch,0,0.5563,0.4437,29.41,Optimal,Optimal: Maintain current allocation,0.001,55.25,Elevated,15.66,Medium
Assam,West Karbi Anglong,5661.0,0,5.09,-14.06,Good,0,0.7406,0.2593,48.77,Moderate,Monitor: Review weekly,0.002,51.51,Elevated,19.78,Medium
BALANAGAR,IDPL COLONY,2.0,0,10.37,60.0,Critical,1,0.0,0.6667,0.14,Under-utilized,Consider: Reallocate resources to high-load areas,0.002,-0.37,Low,18.04,Medium
Bihar,Araria,335061.0,0,31.8,8.26,Watch,0,0.5174,0.4826,35.65,Optimal,Optimal: Maintain current allocation,0.007,108.59,Critical,23.17,Medium
Bihar,Arwal,62970.0,0,5.18,6.07,Watch,0,0.5393,0.4607,27.48,Optimal,Optimal: Maintain current allocation,0.003,40.74,Normal,14.14,Low
Bihar,Aurangabad,219923.0,0,9.37,10.54,Watch,0,0.4946,0.5054,27.65,Optimal,Optimal: Maintain current allocation,0.002,73.1,Elevated,18.77,Medium
Bihar,Aurangabad(BH),35.0,0,6.48,29.44,Concern,1,0.3056,0.6667,5.43,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,11.12,Normal,11.57,Low
Bihar,Aurangabad(bh),952.0,0,9.94,32.51,Concern,1,0.2749,0.724,16.5,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,19.92,Normal,16.7,Medium
Bihar,Banka,216047.0,0,9.39,7.45,Watch,0,0.5255,0.4745,35.18,Optimal,Optimal: Maintain current allocation,0.002,67.92,Elevated,19.58,Medium
Bihar,Begusarai,302635.0,0,12.43,5.76,Watch,0,0.5424,0.4576,34.05,Optimal,Optimal: Maintain current allocation,0.003,97.23,Critical,21.67,Medium
Bihar,Bhabua,169.0,0,7.1,40.0,Concern,1,0.2,0.7941,7.2,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,19.19,Normal,16.08,Medium
Bihar,Bhagalpur,338514.0,0,12.75,8.08,Watch,0,0.5192,0.4808,30.0,Optimal,Optimal: Maintain current allocation,0.003,79.97,Elevated,19.42,Medium
Bihar,Bhojpur,262642.0,0,13.4,16.64,Watch,0,0.4336,0.5664,25.06,Optimal,Optimal: Maintain current allocation,0.001,77.43,Elevated,20.25,Medium
Bihar,Buxar,142222.0,0,6.46,13.88,Watch,0,0.4612,0.5388,21.77,Optimal,Optimal: Maintain current allocation,0.002,53.97,Elevated,16.09,Medium
Bihar,Darbhanga,392617.0,0,15.74,1.05,Watch,0,0.5895,0.4105,26.51,Optimal,Optimal: Maintain current allocation,0.002,96.28,Critical,17.9,Medium
Bihar,East Champaran,498494.0,0,31.29,12.28,Watch,0,0.4772,0.5228,25.42,Optimal,Optimal: Maintain current allocation,0.004,126.17,Critical,21.31,Medium
Bihar,Gaya,418703.0,0,22.76,8.65,Watch,0,0.5135,0.4865,31.92,Optimal,Optimal: Maintain current allocation,0.003,118.14,Critical,22.17,Medium
Bihar,Gopalganj,226576.0,0,11.88,9.18,Watch,0,0.5082,0.4918,25.31,Optimal,Optimal: Maintain current allocation,0.005,74.52,Elevated,17.8,Medium
Bihar,Jamui,164980.0,0,14.35,2.93,Watch,0,0.5707,0.4293,26.11,Optimal,Optimal: Maintain current allocation,0.01,98.18,Critical,18.53,Medium
Bihar,Jehanabad,92373.0,0,3.67,13.24,Watch,0,0.4676,0.5324,28.1,Optimal,Optimal: Maintain current allocation,0.002,47.06,Elevated,17.11,Medium
Bihar,Kaimur (Bhabua),157047.0,0,12.66,5.06,Watch,0,0.5494,0.4506,24.59,Optimal,Optimal: Maintain current allocation,0.008,61.87,Elevated,15.08,Medium
Bihar,Katihar,437117.0,0,36.3,3.99,Watch,0,0.5601,0.4399,26.29,Optimal,Optimal: Maintain current allocation,0.007,117.65,Critical,19.08,Medium
Bihar,Khagaria,167699.0,0,12.08,7.44,Watch,0,0.5256,0.4744,29.79,Optimal,Optimal: Maintain current allocation,0.009,103.15,Critical,21.17,Medium
Bihar,Kishanganj,319945.0,1,71.94,8.06,Watch,0,0.5194,0.4806,34.64,Optimal,Optimal: Maintain current allocation,0.032,118.86,Critical,52.81,Critical
Bihar,Lakhisarai,107719.0,0,12.04,7.69,Watch,0,0.5231,0.4769,37.32,Optimal,Optimal: Maintain current allocation,0.009,54.31,Elevated,18.93,Medium
Bihar,Madhepura,227409.0,0,11.19,2.19,Watch,0,0.5781,0.4219,30.68,Optimal,Optimal: Maintain current allocation,0.005,96.57,Critical,19.52,Medium
Bihar,Madhubani,457988.0,0,20.29,1.65,Watch,0,0.5835,0.4165,25.55,Optimal,Optimal: Maintain current allocation,0.002,128.98,Critical,18.16,Medium
Bihar,Monghyr,392.0,0,8.71,33.03,Concern,1,0.2697,0.7277,11.32,Under-utilized,Consider: Reallocate resources to high-load areas,0.001,18.09,Normal,15.11,Medium
Bihar,Munger,116664.0,0,9.49,10.27,Watch,0,0.4973,0.5026,26.11,Optimal,Optimal: Maintain current allocation,0.007,60.7,Elevated,16.98,Medium
Bihar,Muzaffarpur,450654.0,0,19.67,8.2,Watch,0,0.518,0.482,29.21,Optimal,Optimal: Maintain current allocation,0.002,135.08,Critical,21.22,Medium
Bihar,Nalanda,292421.0,0,15.58,15.66,Watch,0,0.4434,0.5566,34.23,Optimal,Optimal: Maintain current allocation,0.003,113.28,Critical,24.97,Medium
Bihar,Nawada,187897.0,0,8.43,8.57,Watch,0,0.5143,0.4857,25.71,Optimal,Optimal: Maintain current allocation,0.003,74.05,Elevated,17.69,Medium
Bihar,Pashchim Champaran,1569.0,0,9.86,34.46,Concern,1,0.2554,0.7439,18.42,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,46.12,Normal,20.48,Medium
Bihar,Patna,482755.0,0,29.0,12.49,Watch,0,0.4751,0.5249,32.74,Optimal,Optimal: Maintain current allocation,0.001,110.15,Critical,23.57,Medium
Bihar,Purba Champaran,1228.0,0,13.04,36.73,Concern,1,0.2327,0.7665,11.79,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,37.29,Normal,18.28,Medium
Bihar,Purnea,8483.0,0,4.17,-4.93,Good,0,0.6493,0.3505,29.32,Optimal,Optimal: Maintain current allocation,0.001,31.41,Normal,11.94,Low
Bihar,Purnia,398795.0,0,23.69,-2.57,Good,0,0.6257,0.3743,34.66,Optimal,Optimal: Maintain current allocation,0.004,100.43,Critical,20.4,Medium
Bihar,Rohtas,248502.0,0,11.19,9.59,Watch,0,0.5041,0.4959,25.62,Optimal,Optimal: Maintain current allocation,0.003,88.08,Elevated,19.37,Medium
Bihar,Saharsa,222174.0,0,16.33,-1.49,Good,0,0.6149,0.3851,26.79,Optimal,Optimal: Maintain current allocation,0.006,87.52,Elevated,16.79,Medium
Bihar,Samastipur,434631.0,0,21.73,8.6,Watch,0,0.514,0.486,25.59,Optimal,Optimal: Maintain current allocation,0.003,114.63,Critical,20.26,Medium
Bihar,Samstipur,658.0,0,11.41,28.44,Concern,1,0.3156,0.6829,9.42,Under-utilized,Consider: Reallocate resources to high-load areas,0.0,22.39,Normal,13.6,Low
Bihar,Saran,346383.0,0,15.2,11.14,Watch,0,0.4886,0.5114,27.64,Optimal,Optimal: Maintain current allocation,0.001,99.31,Critical,21.56,Medium
Bihar,Sheikhpura,72877.0,0,10.72,-0.11,Good,0,0.6011,0.3988,38.19,Optimal,Optimal: Maintain current allocation,0.009,58.78,Elevated,17.34,Medium
