state,district,total_volume,daily_avg,daily_std,peak_day,num_pincodes,estimated_daily_capacity,load_ratio,peak_load_ratio,volatility_cv,DLI,load_status,recommendation
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,5416.0,3.4562858966177408,2.9029376480478506,22.0,55,27500,0.0,0.001,0.651,19.56,Under-utilized,Consider: Reallocate resources to high-load areas
Andhra Pradesh,East Godavari,78085.0,14.589872944693573,15.945588024466531,182.0,151,75500,0.0,0.002,1.023,30.75,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Eluru,6300.0,3.9227895392278955,5.145631538209685,57.0,66,33000,0.0,0.002,1.045,31.41,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Guntur,72297.0,18.316949581960984,20.26703694766093,169.0,108,54000,0.0,0.003,1.049,31.56,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Hyderabad,30495.0,14.190321079571893,13.836420624482512,103.0,73,36500,0.0,0.003,0.911,27.42,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,K.V.Rangareddy,330.0,1.3306451612903225,0.7658899635931833,6.0,50,25000,0.0,0.0,0.329,9.87,Under-utilized,Consider: Reallocate resources to high-load areas
Andhra Pradesh,K.v. Rangareddy,158.0,1.253968253968254,0.5205613575594399,4.0,42,21000,0.0,0.0,0.231,6.93,Under-utilized,Consider: Reallocate resources to high-load areas
Andhra Pradesh,Kakinada,7898.0,6.710280373831775,6.424483197899984,52.0,38,19000,0.0,0.003,0.833,25.08,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Karim Nagar,848.0,2.4438040345821324,2.9483287019762505,17.0,57,28500,0.0,0.001,0.856,25.71,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Karimnagar,6363.0,3.756198347107438,3.4794400698755403,30.0,75,37500,0.0,0.001,0.732,21.99,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Khammam,14231.0,7.56968085106383,7.253373508448731,66.0,59,29500,0.0,0.002,0.846,25.44,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Krishna,54500.0,13.846544715447154,15.195693506571173,136.0,112,56000,0.0,0.002,1.024,30.78,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Kurnool,70692.0,22.470438652256835,23.832482081404436,170.0,86,43000,0.001,0.004,1.015,30.61,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Mahabub Nagar,6829.0,4.355229591836735,3.725002804686822,21.0,64,32000,0.0,0.001,0.696,20.91,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Mahabubnagar,57.0,1.0,0.0,1.0,30,15000,0.0,0.0,0.0,0.0,,Consider: Reallocate resources to high-load areas
Andhra Pradesh,Mahbubnagar,5033.0,3.71165191740413,4.692166345967764,64.0,68,34000,0.0,0.002,0.996,29.94,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Medak,7563.0,4.75959723096287,4.765942762667218,36.0,73,36500,0.0,0.001,0.827,24.84,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,N. T. R,9137.0,7.526359143327842,7.056634428235756,49.0,39,19500,0.0,0.003,0.828,24.93,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Nalgonda,13717.0,6.977110885045779,6.231495558090141,57.0,57,28500,0.0,0.002,0.781,23.49,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Nandyal,5740.0,4.388379204892966,5.110912411704793,47.0,50,25000,0.0,0.002,0.949,28.53,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Nellore,35362.0,12.011548913043478,13.164367821315297,106.0,82,41000,0.0,0.003,1.012,30.45,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Nizamabad,3577.0,3.900763358778626,4.8350486991546875,40.0,52,26000,0.0,0.002,0.987,29.67,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Palnadu,5898.0,4.799023596419853,5.427442546572773,35.0,44,22000,0.0,0.002,0.936,28.14,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Parvathipuram Manyam,3775.0,4.766414141414141,3.803948081470808,24.0,27,13500,0.0,0.002,0.66,19.86,Under-utilized,Consider: Reallocate resources to high-load areas
Andhra Pradesh,Prakasam,55315.0,15.288833609729132,13.333260206117423,128.0,99,49500,0.0,0.003,0.819,24.66,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Rangareddi,15662.0,8.465945945945945,9.394380406991043,78.0,64,32000,0.0,0.002,0.992,29.82,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Sri Potti Sriramulu Nellore,7058.0,4.0680115273775215,5.829170106374333,48.0,69,34500,0.0,0.001,1.15,34.53,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Sri Sathya Sai,7166.0,4.898154477101846,5.313678051057747,35.0,50,25000,0.0,0.001,0.901,27.06,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Srikakulam,44537.0,18.388521882741536,16.332706167413605,110.0,66,33000,0.001,0.003,0.842,25.39,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Tirupati,8305.0,5.310102301790281,9.141407076706235,84.0,59,29500,0.0,0.003,1.449,43.56,Moderate,Monitor: Review weekly
Andhra Pradesh,Visakhapatnam,68717.0,20.99511151848457,18.756644477005068,155.0,92,46000,0.0,0.003,0.853,25.68,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Vizianagaram,39469.0,16.975913978494624,16.348594069450574,120.0,70,35000,0.0,0.003,0.909,27.36,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Warangal,16682.0,7.684016582220175,8.274418836718356,104.0,73,36500,0.0,0.003,0.953,28.68,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,West Godavari,53937.0,13.377232142857142,13.059898929064824,106.0,117,58500,0.0,0.002,0.908,27.3,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Y. S. R,6292.0,4.599415204678363,6.467208351115655,49.0,59,29500,0.0,0.002,1.155,34.71,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Anjaw,263.0,7.96969696969697,7.25639738646548,26.0,1,500,0.016,0.052,0.809,26.47,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Changlang,2255.0,11.931216931216932,16.730038251426084,125.0,7,3500,0.003,0.036,1.294,40.02,Moderate,Monitor: Review weekly
Arunachal Pradesh,Dibang Valley,80.0,2.6666666666666665,1.9710549133051487,8.0,2,1000,0.003,0.008,0.538,16.5,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,East Kameng,570.0,9.661016949152541,10.095424312599835,34.0,2,1000,0.01,0.034,0.947,29.83,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,East Siang,1357.0,20.253731343283583,22.107412224411593,85.0,3,1500,0.013,0.057,1.04,33.43,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Kamle,13.0,1.3,0.6749485577105528,3.0,1,500,0.003,0.006,0.293,9.09,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Kra Daadi,215.0,5.972222222222222,6.035542873493467,26.0,1,500,0.012,0.052,0.866,28.02,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Kurung Kumey,206.0,7.103448275862069,8.006001443498528,32.0,1,500,0.014,0.064,0.988,32.12,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Leparada,8.0,1.3333333333333333,0.5163977794943222,2.0,1,500,0.003,0.004,0.221,6.87,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Lohit,1398.0,11.274193548387096,13.420248449639049,86.0,4,2000,0.006,0.043,1.093,34.32,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Longding,450.0,5.294117647058823,6.11754605605051,26.0,4,2000,0.003,0.013,0.972,29.67,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Lower Dibang Valley,512.0,16.0,12.793647617268451,60.0,1,500,0.032,0.12,0.753,27.47,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Lower Siang,102.0,2.2666666666666666,1.7241598744685112,7.0,3,1500,0.002,0.005,0.528,16.07,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Lower Subansiri,422.0,7.672727272727273,7.7077511382651425,27.0,2,1000,0.008,0.027,0.889,27.8,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Namsai,1209.0,12.09,12.743859682057066,60.0,3,1500,0.008,0.04,0.974,30.74,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Pakke Kessang,10.0,1.4285714285714286,0.5345224838248488,2.0,1,500,0.003,0.004,0.22,6.84,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Papum Pare,1943.0,8.375,8.496083895445095,51.0,8,4000,0.002,0.013,0.906,27.65,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Shi-yomi,167.0,4.394736842105263,2.656348577787577,9.0,2,1000,0.004,0.009,0.492,15.19,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Siang,378.0,5.641791044776119,4.070222585445434,27.0,2,1000,0.006,0.027,0.613,19.44,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Tawang,652.0,7.164835164835165,6.914178245161227,36.0,3,1500,0.005,0.024,0.847,26.33,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Tirap,384.0,3.2,2.6460689092064302,14.0,6,3000,0.001,0.005,0.63,19.09,Under-utilized,Consider: Reallocate resources to high-load areas
Arunachal Pradesh,Upper Siang,770.0,10.547945205479452,14.801502453664789,70.0,4,2000,0.005,0.035,1.282,39.71,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,Upper Subansiri,607.0,17.34285714285714,13.451312765899484,49.0,1,500,0.035,0.098,0.733,26.33,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,West Kameng,1799.0,8.406542056074766,9.426172444509065,42.0,7,3500,0.002,0.012,1.002,30.5,Optimal,Optimal: Maintain current allocation
Arunachal Pradesh,West Siang,935.0,7.857142857142857,10.174982375602704,56.0,4,2000,0.004,0.028,1.149,35.47,Optimal,Optimal: Maintain current allocation
Assam,Bajali,375.0,2.2590361445783134,1.6839013967085983,11.0,11,5500,0.0,0.002,0.517,15.57,Under-utilized,Consider: Reallocate resources to high-load areas
Assam,Baksa,8475.0,12.282608695652174,13.038844015936107,72.0,25,12500,0.001,0.006,0.982,29.68,Optimal,Optimal: Maintain current allocation
Assam,Barpeta,30469.0,37.02187120291616,34.9779145876809,173.0,24,12000,0.003,0.014,0.92,28.14,Optimal,Optimal: Maintain current allocation
Assam,Biswanath,4757.0,9.026565464895636,8.586135707899706,51.0,16,8000,0.001,0.006,0.856,25.9,Optimal,Optimal: Maintain current allocation
Assam,Bongaigaon,12189.0,26.78901098901099,31.201129012631487,164.0,14,7000,0.004,0.023,1.123,34.54,Optimal,Optimal: Maintain current allocation
Assam,Cachar,26051.0,14.150461705594786,14.362491194751732,105.0,63,31500,0.0,0.003,0.948,28.53,Optimal,Optimal: Maintain current allocation
Assam,Charaideo,3168.0,9.931034482758621,9.49718309091328,46.0,11,5500,0.002,0.008,0.869,26.39,Optimal,Optimal: Maintain current allocation
Assam,Chirang,10349.0,23.100446428571427,24.156206788777496,139.0,17,8500,0.003,0.016,1.002,30.66,Optimal,Optimal: Maintain current allocation
Assam,Darrang,12575.0,24.323017408123793,24.709280813481076,120.0,18,9000,0.003,0.013,0.976,29.79,Optimal,Optimal: Maintain current allocation
Assam,Dhemaji,9016.0,19.902869757174393,22.04107821578642,126.0,19,9500,0.002,0.013,1.054,32.09,Optimal,Optimal: Maintain current allocation
Assam,Dhubri,37051.0,48.496073298429316,46.00582600606706,229.0,23,11500,0.004,0.02,0.929,28.63,Optimal,Optimal: Maintain current allocation
Assam,Dibrugarh,8417.0,9.478603603603604,8.919759645883135,47.0,30,15000,0.001,0.003,0.851,25.66,Optimal,Optimal: Maintain current allocation
Assam,Dima Hasao,150.0,1.5625,1.0444086717775805,6.0,7,3500,0.0,0.002,0.408,12.3,Under-utilized,Consider: Reallocate resources to high-load areas
Assam,Goalpara,17138.0,36.309322033898304,41.850731589438595,261.0,14,7000,0.005,0.037,1.122,34.97,Optimal,Optimal: Maintain current allocation
Assam,Golaghat,10438.0,14.868945868945868,18.726804692965572,131.0,27,13500,0.001,0.01,1.18,35.74,Optimal,Optimal: Maintain current allocation
Assam,Hailakandi,11476.0,21.817490494296578,19.909149803064473,106.0,20,10000,0.002,0.011,0.873,26.6,Optimal,Optimal: Maintain current allocation
Assam,Hojai,12294.0,32.9597855227882,29.15025944584932,149.0,10,5000,0.007,0.03,0.858,26.92,Optimal,Optimal: Maintain current allocation
Assam,Jorhat,7027.0,6.5981220657277,6.520931901271919,56.0,37,18500,0.0,0.003,0.858,25.83,Optimal,Optimal: Maintain current allocation
Assam,Kamrup,20868.0,14.04306864064603,19.18794591461579,122.0,65,32500,0.0,0.004,1.276,38.4,Optimal,Optimal: Maintain current allocation
Assam,Kamrup Metro,11680.0,8.550512445095169,7.776644597923267,54.0,41,20500,0.0,0.003,0.814,24.51,Optimal,Optimal: Maintain current allocation
Assam,Karbi Anglong,13557.0,19.450502152080343,27.739669878147982,273.0,35,17500,0.001,0.016,1.356,41.2,Moderate,Monitor: Review weekly
Assam,Karimganj,27518.0,29.33688699360341,27.441478309564975,215.0,28,14000,0.002,0.015,0.905,27.68,Optimal,Optimal: Maintain current allocation
Assam,Kokrajhar,12116.0,20.397306397306398,20.427316783622736,116.0,21,10500,0.002,0.011,0.955,29.06,Optimal,Optimal: Maintain current allocation
Assam,Lakhimpur,14448.0,23.265700483091788,25.23582832646965,169.0,18,9000,0.003,0.019,1.04,31.89,Optimal,Optimal: Maintain current allocation
Assam,Majuli,1284.0,7.597633136094674,6.821115261614394,28.0,6,3000,0.003,0.009,0.793,24.18,Optimal,Optimal: Maintain current allocation
Assam,Marigaon,19872.0,37.28330206378987,35.790751036441954,159.0,17,8500,0.004,0.019,0.935,28.78,Optimal,Optimal: Maintain current allocation
Assam,Nagaon,54779.0,43.47539682539683,71.78888737484057,801.0,38,19000,0.002,0.042,1.614,49.76,Moderate,Monitor: Review weekly
Assam,Nalbari,9613.0,9.809183673469388,13.125983297840126,96.0,34,17000,0.001,0.006,1.214,36.64,Optimal,Optimal: Maintain current allocation
Assam,North Cachar Hills,1452.0,7.5625,6.249293153746749,30.0,8,4000,0.002,0.007,0.73,22.19,Optimal,Optimal: Maintain current allocation
Assam,Sibsagar,5652.0,6.197368421052632,6.83123144347047,47.0,35,17500,0.0,0.003,0.949,28.56,Optimal,Optimal: Maintain current allocation
Assam,Sonitpur,17335.0,12.25954738330976,12.49242505400307,71.0,46,23000,0.001,0.003,0.942,28.39,Optimal,Optimal: Maintain current allocation
Assam,South Salmara Mankachar,5155.0,33.91447368421053,27.674777308208025,108.0,4,2000,0.017,0.054,0.793,26.09,Optimal,Optimal: Maintain current allocation
Assam,Sribhumi,2540.0,3.96875,3.377958333655459,20.0,27,13500,0.0,0.001,0.68,20.43,Optimal,Optimal: Maintain current allocation
Assam,Tamulpur District,536.0,3.4805194805194803,2.292986690687566,11.0,6,3000,0.001,0.004,0.512,15.52,Under-utilized,Consider: Reallocate resources to high-load areas
Assam,Tinsukia,13145.0,13.551546391752577,12.313580925627761,91.0,30,15000,0.001,0.006,0.846,25.6,Optimal,Optimal: Maintain current allocation
Assam,Udalguri,10768.0,13.359801488833748,13.990043379109458,73.0,32,16000,0.001,0.005,0.974,29.41,Optimal,Optimal: Maintain current allocation
Assam,West Karbi Anglong,1244.0,7.190751445086705,13.152218223535113,61.0,7,3500,0.002,0.017,1.606,48.77,Moderate,Monitor: Review weekly
BALANAGAR,IDPL COLONY,2.0,1.0,0.0,1.0,1,500,0.002,0.002,0.0,0.14,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Araria,56260.0,81.65457184325109,93.69288793789768,499.0,22,11000,0.007,0.045,1.134,35.65,Optimal,Optimal: Maintain current allocation
Bihar,Arwal,10599.0,25.725728155339805,23.967435697651403,148.0,20,10000,0.003,0.015,0.897,27.48,Optimal,Optimal: Maintain current allocation
Bihar,Aurangabad,36998.0,36.96103896103896,34.133348510210375,307.0,30,15000,0.002,0.02,0.899,27.65,Optimal,Optimal: Maintain current allocation
Bihar,Aurangabad(BH),14.0,1.1666666666666667,0.38924947208076144,2.0,7,3500,0.0,0.001,0.18,5.43,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Aurangabad(bh),307.0,2.20863309352518,1.763045866312891,7.0,18,9000,0.0,0.001,0.549,16.5,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Banka,34856.0,36.12020725388601,42.96925534054923,221.0,37,18500,0.002,0.012,1.158,35.18,Optimal,Optimal: Maintain current allocation
Bihar,Begusarai,56413.0,47.64611486486486,54.12304570315948,304.0,34,17000,0.003,0.018,1.113,34.05,Optimal,Optimal: Maintain current allocation
Bihar,Bhabua,46.0,1.2105263157894737,0.5280200004832999,3.0,9,4500,0.0,0.001,0.239,7.2,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Bhagalpur,53414.0,45.61400512382579,45.71619558462403,264.0,36,18000,0.003,0.015,0.981,30.0,Optimal,Optimal: Maintain current allocation
Bihar,Bhojpur,41752.0,27.871829105473964,23.856526609068617,173.0,42,21000,0.001,0.008,0.826,25.06,Optimal,Optimal: Maintain current allocation
Bihar,Buxar,26612.0,28.523043944265808,21.070104590691034,128.0,28,14000,0.002,0.009,0.714,21.77,Optimal,Optimal: Maintain current allocation
Bihar,Darbhanga,68259.0,45.2046357615894,40.185040584514816,247.0,45,22500,0.002,0.011,0.87,26.51,Optimal,Optimal: Maintain current allocation
Bihar,East Champaran,96678.0,68.42038216560509,56.62950694965412,501.0,39,19500,0.004,0.026,0.816,25.42,Optimal,Optimal: Maintain current allocation
Bihar,Gaya,68632.0,54.126182965299684,57.383654715543095,394.0,41,20500,0.003,0.019,1.041,31.92,Optimal,Optimal: Maintain current allocation
Bihar,Gopalganj,43472.0,53.73547589616811,44.70582326126594,226.0,23,11500,0.005,0.02,0.817,25.31,Optimal,Optimal: Maintain current allocation
Bihar,Jamui,33768.0,72.77586206896552,59.98942832811698,310.0,14,7000,0.01,0.044,0.813,26.11,Optimal,Optimal: Maintain current allocation
Bihar,Jehanabad,15755.0,21.641483516483518,20.910282814197945,105.0,22,11000,0.002,0.01,0.924,28.1,Optimal,Optimal: Maintain current allocation
Bihar,Kaimur (Bhabua),25015.0,61.91831683168317,48.945868323526874,251.0,16,8000,0.008,0.031,0.778,24.59,Optimal,Optimal: Maintain current allocation
Bihar,Katihar,71856.0,87.52253349573691,73.68441964852154,439.0,25,12500,0.007,0.035,0.832,26.29,Optimal,Optimal: Maintain current allocation
Bihar,Khagaria,35515.0,64.69034608378871,62.05224074773058,272.0,15,7500,0.009,0.036,0.945,29.79,Optimal,Optimal: Maintain current allocation
Bihar,Kishanganj,49371.0,160.29545454545453,150.34065675569624,899.0,10,5000,0.032,0.18,0.932,34.64,Optimal,Optimal: Maintain current allocation
Bihar,Lakhisarai,19760.0,52.83422459893048,63.47568663169364,320.0,12,6000,0.009,0.053,1.179,37.32,Optimal,Optimal: Maintain current allocation
Bihar,Madhepura,41537.0,63.31859756097561,63.60506020857956,322.0,24,12000,0.005,0.027,0.989,30.68,Optimal,Optimal: Maintain current allocation
Bihar,Madhubani,81123.0,51.117202268431,43.48882102141109,338.0,44,22000,0.002,0.015,0.834,25.55,Optimal,Optimal: Maintain current allocation
Bihar,Monghyr,123.0,1.662162162162162,0.9969408966560643,5.0,6,3000,0.001,0.002,0.374,11.32,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Munger,23306.0,55.62291169451074,47.174277823327316,208.0,15,7500,0.007,0.028,0.833,26.11,Optimal,Optimal: Maintain current allocation
Bihar,Muzaffarpur,83351.0,44.50133475707421,43.677945833993846,291.0,55,27500,0.002,0.011,0.96,29.21,Optimal,Optimal: Maintain current allocation
Bihar,Nalanda,50251.0,45.311992786293956,51.68323795279421,330.0,32,16000,0.003,0.021,1.116,34.23,Optimal,Optimal: Maintain current allocation
Bihar,Nawada,32886.0,38.463157894736845,33.12789405807864,172.0,24,12000,0.003,0.014,0.839,25.71,Optimal,Optimal: Maintain current allocation
Bihar,Pashchim Champaran,374.0,2.21301775147929,1.970513833379546,10.0,18,9000,0.0,0.001,0.613,18.42,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Patna,88123.0,38.297696653628854,42.50494128713414,287.0,76,38000,0.001,0.008,1.082,32.74,Optimal,Optimal: Maintain current allocation
Bihar,Purba Champaran,386.0,1.6083333333333334,1.0251713467014327,6.0,36,18000,0.0,0.0,0.393,11.79,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Purnea,1275.0,6.407035175879397,7.200599775367259,31.0,17,8500,0.001,0.004,0.972,29.32,Optimal,Optimal: Maintain current allocation
Bihar,Purnia,69946.0,71.73948717948718,81.80833405770659,420.0,33,16500,0.004,0.025,1.125,34.66,Optimal,Optimal: Maintain current allocation
Bihar,Rohtas,46760.0,41.937219730941706,35.96222341443152,206.0,33,16500,0.003,0.012,0.838,25.62,Optimal,Optimal: Maintain current allocation
Bihar,Saharsa,33290.0,52.50788643533123,45.98860461518197,235.0,18,9000,0.006,0.026,0.859,26.79,Optimal,Optimal: Maintain current allocation
Bihar,Samastipur,80808.0,56.62789067974772,48.133459056575326,279.0,41,20500,0.003,0.014,0.835,25.59,Optimal,Optimal: Maintain current allocation
Bihar,Samstipur,207.0,1.361842105263158,0.7418371869825889,6.0,35,17500,0.0,0.0,0.314,9.42,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Saran,67329.0,36.49268292682927,34.09011879039,296.0,52,26000,0.001,0.011,0.909,27.64,Optimal,Optimal: Maintain current allocation
Bihar,Sheikhpura,11472.0,40.97142857142857,50.43615402031038,264.0,9,4500,0.009,0.059,1.202,38.19,Optimal,Optimal: Maintain current allocation
Bihar,Sheikpura,80.0,1.8181818181818181,1.2988855200056462,5.0,5,2500,0.001,0.002,0.461,13.93,Under-utilized,Consider: Reallocate resources to high-load areas
Bihar,Sheohar,12022.0,54.64545454545455,66.95518658929994,291.0,8,4000,0.014,0.073,1.203,38.84,Optimal,Optimal: Maintain current allocation
Bihar,Sitamarhi,68541.0,78.78275862068965,64.84720415339774,407.0,26,13000,0.006,0.031,0.813,25.56,Optimal,Optimal: Maintain current allocation
Bihar,Siwan,54413.0,34.992282958199354,33.253945754359904,223.0,44,22000,0.002,0.01,0.924,28.1,Optimal,Optimal: Maintain current allocation
Bihar,Supaul,37248.0,46.386052303860524,40.421814617725644,250.0,23,11500,0.004,0.022,0.853,26.41,Optimal,Optimal: Maintain current allocation
Bihar,Vaishali,63255.0,47.45311327831958,44.46093807714387,303.0,38,19000,0.002,0.016,0.918,28.1,Optimal,Optimal: Maintain current allocation
Bihar,West Champaran,80942.0,120.8089552238806,93.81538613701302,482.0,19,9500,0.013,0.051,0.77,25.15,Optimal,Optimal: Maintain current allocation
Chandigarh,Chandigarh,16287.0,20.90757381258023,24.915418495590618,118.0,25,12500,0.002,0.009,1.137,34.46,Optimal,Optimal: Maintain current allocation
Chandigarh,Mohali,5.0,1.0,0.0,1.0,1,500,0.002,0.002,0.0,0.14,Under-utilized,Consider: Reallocate resources to high-load areas
Chandigarh,Rupnagar,10.0,1.1111111111111112,0.6009252125773316,2.0,2,1000,0.001,0.002,0.285,8.65,Under-utilized,Consider: Reallocate resources to high-load areas
Chhatisgarh,Raipur,4.0,1.0,0.0,1.0,1,500,0.002,0.002,0.0,0.14,Under-utilized,Consider: Reallocate resources to high-load areas
Chhattisgarh,Balod,31299.0,79.43908629441624,80.53891380142362,381.0,26,13000,0.006,0.029,1.001,31.14,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Baloda Bazar,62550.0,88.97581792318634,93.68291209384326,614.0,39,19500,0.005,0.031,1.041,32.36,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Balrampur,26528.0,97.17216117216117,66.25454780242138,327.0,9,4500,0.022,0.073,0.675,23.32,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Bastar,46477.0,104.91422121896163,112.96043775878725,546.0,28,14000,0.007,0.039,1.067,33.46,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Bemetara,42331.0,134.384126984127,147.2594499756046,706.0,13,6500,0.021,0.109,1.088,36.75,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Bijapur,10789.0,51.132701421800945,53.848830926876936,310.0,8,4000,0.013,0.077,1.033,33.82,Optimal,Optimal: Maintain current allocation
Chhattisgarh,Bilaspur,81373.0,93.4247990815155,101.92486992111694,651.0,31,15500,0.006,0.042,1.079,33.87,Optimal,Optimal: Maintain current allocation
