state,district,avg_demand,demand_std,peak_demand,avg_growth_rate,demand_z_score,surge_score,surge_level
Chhattisgarh,Baloda Bazar,2148.0333333333333,1466.5433316742335,5212.0,0.9614280673199864,1.843,129.01,Critical
Bihar,Madhubani,2792.3,1535.4843816225864,6141.0,0.6676622165713428,2.636,128.98,Critical
Karnataka,Bengaluru,3324.7,1527.5159946112196,6338.0,0.5886612448205167,3.291,128.38,Critical
Maharashtra,Beed,2165.266666666667,1477.338331976273,6742.0,0.4569140010564183,1.864,127.29,Critical
Chhattisgarh,Janjgir-champa,2222.5333333333333,1491.9784304009254,4939.0,1.2489842148538444,1.935,126.8,Critical
Uttar Pradesh,Varanasi,2650.8,1533.6105336641103,6568.0,0.49084874577373017,2.462,126.61,Critical
Bihar,East Champaran,3335.4666666666667,1772.2608925506333,6682.0,0.43865051780568204,3.304,126.17,Critical
Maharashtra,Ahmadnagar,3693.766666666667,1904.950477830987,6764.0,0.3990450405383463,3.745,125.67,Critical
Uttar Pradesh,Lucknow,3145.733333333333,1347.7065559384728,6385.0,0.486996104923256,3.071,123.91,Critical
Chhattisgarh,Durg,1860.9333333333334,1215.597850168111,4649.0,1.4062842840977248,1.49,122.12,Critical
Chhattisgarh,Bemetara,1464.7333333333333,1041.7667663168656,4495.0,1.3913917961120568,1.002,119.51,Critical
West Bengal,Uttar Dinajpur,1430.3333333333333,928.5186323250131,5526.0,0.6709960143896455,0.96,118.87,Critical
Bihar,Kishanganj,1684.7666666666667,1105.9434943267572,4444.0,1.1369171587800786,1.273,118.86,Critical
Bihar,Gaya,2359.1666666666665,1357.1206355885352,5693.0,0.5937001205344548,2.103,118.14,Critical
Bihar,Katihar,2456.9666666666667,1483.2116477273305,6110.0,0.454595831010124,2.223,117.65,Critical
Delhi,North West Delhi,2544.1666666666665,1353.0645697397658,5435.0,0.6492529400503363,2.33,117.07,Critical
Uttarakhand,Dehradun,1604.7,1008.999338710012,4329.0,1.120445204474349,1.174,117.05,Critical
Uttar Pradesh,Sitapur,2538.0,1354.9308164040624,5758.0,0.540062409170934,2.323,116.57,Critical
West Bengal,Malda,1788.6666666666667,1141.2680888269472,5856.0,0.5187484698420074,1.401,116.54,Critical
Chhattisgarh,Rajnandgaon,1996.5666666666666,1254.8542347917196,4257.0,2.8298669763106568,1.657,116.19,Critical
Andhra Pradesh,Visakhapatnam,2320.5666666666666,1274.552759512767,6124.0,0.406616253190485,2.055,115.38,Critical
Rajasthan,Barmer,1516.7,991.2347281077759,4195.0,1.1566746206327043,1.066,114.94,Critical
Chhattisgarh,Raigarh,1884.4333333333334,1237.0780000310892,5112.0,0.7100056268151819,1.519,114.74,Critical
Bihar,Samastipur,2778.9666666666667,1398.9276061063476,5618.0,0.5414489946665973,2.619,114.63,Critical
Andhra Pradesh,Guntur,2456.4333333333334,1468.1293676750306,6118.0,0.3748573991924237,2.223,113.78,Critical
Maharashtra,Yavatmal,2892.0666666666666,1840.8383572359808,6218.0,0.33270202712901825,2.759,113.48,Critical
Bihar,Nalanda,1727.4,1011.06303224498,4711.0,0.805839401036805,1.325,113.28,Critical
Chhattisgarh,Surguja,1804.2666666666667,1182.8005613019009,3940.0,1.4032936731834555,1.42,111.2,Critical
Rajasthan,Jodhpur,1898.9333333333334,1123.2703157739238,4355.0,0.8625585970336267,1.536,110.76,Critical
Bihar,Patna,3034.6666666666665,1490.4726936695997,5609.0,0.45141673172417934,2.934,110.15,Critical
Assam,Nagaon,1867.5,1015.6729296382769,3854.0,1.0340633621346258,1.498,109.92,Critical
Rajasthan,Pali,1306.8,918.189725717835,4179.0,0.9063376200896653,0.808,109.88,Critical
Uttar Pradesh,Allahabad,2542.9666666666667,1296.3612066707794,5486.0,0.48439524328774597,2.329,109.61,Critical
Maharashtra,Mumbai Suburban,2663.233333333333,1236.293338791498,4993.0,0.63402768354527,2.477,109.6,Critical
Bihar,Sitamarhi,2380.5666666666666,1279.4071278723497,4989.0,0.6307487813693924,2.129,109.2,Critical
Uttar Pradesh,Aligarh,2346.7,1293.359356148913,5308.0,0.5292581853070003,2.087,109.0,Critical
Chhattisgarh,Bastar,1608.1333333333334,1067.3725308158487,4203.0,0.8731261920249468,1.179,108.77,Critical
Bihar,Araria,1915.6666666666667,1167.0292474346204,4476.0,0.7818329966845436,1.557,108.59,Critical
Uttar Pradesh,Bahraich,2473.5666666666666,1281.5378069236633,5530.0,0.4391048844001325,2.244,107.98,Critical
Andhra Pradesh,Prakasam,1879.9333333333334,1075.3345568684203,5123.0,0.5532028034885302,1.513,107.07,Critical
Gujarat,Surat,3312.5,1506.7930034256244,5557.0,0.4006956435863581,3.276,106.99,Critical
Uttar Pradesh,Meerut,2240.8333333333335,1082.356595051083,4233.0,0.8093127056537018,1.957,106.43,Critical
Madhya Pradesh,Katni,1177.8666666666666,769.7996485128937,3596.0,1.1352470112656143,0.649,105.53,Critical
Madhya Pradesh,Ratlam,1440.5,896.9828257303326,3530.0,1.7902498563231068,0.972,104.68,Critical
Andhra Pradesh,Krishna,1844.4333333333334,1144.556341793723,5336.0,0.43870452228109647,1.469,104.59,Critical
Delhi,North East Delhi,1251.7666666666667,796.1698693868918,3779.0,0.9237625393359505,0.74,104.58,Critical
Maharashtra,Nanded,2776.4333333333334,1567.0632028125717,5508.0,0.37187311698864783,2.616,104.47,Critical
Madhya Pradesh,Indore,2299.733333333333,1144.9390266353244,4062.0,0.8149606429164611,2.03,104.13,Critical
Chhattisgarh,Kawardha,1185.5666666666666,817.1486879148246,3490.0,1.0105614670475187,0.659,103.91,Critical
Uttar Pradesh,Bareilly,2994.866666666667,1367.4545124713147,5633.0,0.30873151146475547,2.885,103.36,Critical
West Bengal,Kolkata,1618.0666666666666,1051.4218266096934,5351.0,0.4115423974943281,1.191,103.33,Critical
Bihar,Khagaria,1217.8666666666666,859.6681289625801,3439.0,1.0149116009294115,0.698,103.15,Critical
Tamil Nadu,Chennai,2722.0,1323.4049084555106,5659.0,0.28118580345107086,2.549,102.22,Critical
Maharashtra,Aurangabad,2562.2,1373.6115598091694,5040.0,0.4710166258064932,2.353,102.11,Critical
Madhya Pradesh,Ujjain,1361.8,834.5401128765473,3348.0,1.089605049677824,0.875,101.84,Critical
Uttar Pradesh,Agra,2727.366666666667,1281.431109543446,4897.0,0.4998334924933996,2.556,101.45,Critical
Telangana,Hyderabad,2791.633333333333,1245.2652254075015,5390.0,0.3401490653850646,2.635,101.08,Critical
Tamil Nadu,Salem,2367.4666666666667,1283.0888305672515,4828.0,0.512425315925588,2.113,100.8,Critical
Bihar,Purnia,2394.5333333333333,1262.31606330513,4463.0,0.6167710792660742,2.146,100.43,Critical
Madhya Pradesh,Sagar,1309.4666666666667,787.6330641092721,3884.0,0.7971485207301874,0.811,99.89,Critical
Madhya Pradesh,Chhindwara,1278.6333333333334,838.7721520106077,3207.0,2.0804778448178656,0.773,99.62,Critical
Andhra Pradesh,Hyderabad,1033.0333333333333,731.804735748798,3206.0,1.0847499765826987,0.471,99.46,Critical
Bihar,Saran,2307.0666666666666,1183.3768144836502,4668.0,0.5324864995001979,2.039,99.31,Critical
Chhattisgarh,Mahasamund,1434.8333333333333,909.7179965974804,3245.0,0.9636433726865855,0.965,98.48,Critical
Bihar,Jamui,1147.2666666666667,800.5646685344957,3353.0,0.927910790405386,0.611,98.18,Critical
Chhattisgarh,Surajpur,1083.3666666666666,824.6185945252397,3095.0,1.1729945090384453,0.533,97.78,Critical
Uttar Pradesh,Azamgarh,2171.4666666666667,1169.969753022917,4893.0,0.4340629041916888,1.872,97.76,Critical
Bihar,Begusarai,1939.4666666666667,1096.9088144082154,4535.0,0.5362368015111408,1.586,97.23,Critical
Bihar,Siwan,1869.7,908.4211445480939,3499.0,0.8469643548818564,1.501,96.82,Critical
Bihar,Madhepura,1424.0333333333333,897.3940618807607,3706.0,0.7839570085065081,0.952,96.57,Critical
Chhattisgarh,Balod,1070.4666666666667,680.1443930536359,3016.0,1.2962152853410527,0.517,96.56,Critical
Bihar,Darbhanga,2340.3,1142.5856385318828,4195.0,0.6166506305672126,2.08,96.28,Critical
Chhattisgarh,Dhamtari,985.5333333333333,711.4217301719983,2971.0,1.0150358462384383,0.412,95.82,Critical
West Bengal,Jalpaiguri,1681.7,1033.903922368832,4901.0,0.39565622387561805,1.269,95.66,Critical
Gujarat,Banaskantha,1665.9333333333334,959.8341068349667,3713.0,0.7577902403908986,1.25,95.52,Critical
Uttar Pradesh,Sambhal,1553.2666666666667,821.6114919340898,4114.0,0.6329210642382255,1.111,95.36,Critical
Tamil Nadu,Tiruvallur,2369.733333333333,1158.4407753031908,5023.0,0.34312605275168656,2.116,95.33,Critical
Maharashtra,Nagpur,2715.9666666666667,1443.959510448992,4969.0,0.34766349652244843,2.542,94.94,Critical
Uttar Pradesh,Moradabad,1955.2666666666667,827.1049607467932,3878.0,0.6901773207784109,1.606,94.85,Critical
Uttar Pradesh,Budaun,1957.6666666666667,1064.114763493608,4774.0,0.40858483664122414,1.609,94.53,Critical
Maharashtra,Satara,1870.5333333333333,1145.775651547091,4841.0,0.3874095706839999,1.502,94.44,Critical
Madhya Pradesh,Bhopal,1450.4333333333334,806.6258237499155,2857.0,1.129288253486249,0.985,94.36,Critical
Uttar Pradesh,Ghaziabad,2300.4333333333334,943.0567936725519,4163.0,0.5802804372139174,2.031,93.94,Critical
Madhya Pradesh,Balaghat,1236.5666666666666,800.7181984526974,2817.0,2.073484295947287,0.721,93.61,Critical
West Bengal,Hooghly,2229.5,1215.305432022522,4796.0,0.37786941011952874,1.943,93.5,Critical
Andhra Pradesh,Chittoor,2088.766666666667,1204.0644295778832,4544.0,0.4545776321986983,1.77,93.38,Elevated
West Bengal,Barddhaman,2293.9333333333334,1137.9290303709276,4912.0,0.3388800599502918,2.023,93.37,Elevated
Uttar Pradesh,Kushinagar,1939.0666666666666,988.4092386195637,4093.0,0.5900886419557878,1.586,93.14,Elevated
Tamil Nadu,Tirunelveli,1872.2333333333333,1075.9255096422107,4132.0,0.5741049126412603,1.504,92.9,Elevated
Rajasthan,Churu,1227.2333333333333,790.0220722945934,2736.0,1.0319177181903234,0.71,92.36,Elevated
Rajasthan,Udaipur,1645.6,1054.9593095601301,4502.0,0.45220179511575276,1.225,92.34,Elevated
Rajasthan,Bikaner,1326.6,848.8671802203054,2701.0,1.0301921883021015,0.832,91.88,Elevated
Tamil Nadu,Kancheepuram,2351.4,1313.55609990065,4651.0,0.37672047565968614,2.093,91.29,Elevated
Andhra Pradesh,West Godavari,1825.9666666666667,1012.726551353371,4517.0,0.42394004948394637,1.447,91.27,Elevated
Kerala,Kozhikode,1860.0666666666666,1067.9986740703807,4104.0,0.5477698237779587,1.489,91.14,Elevated
Uttarakhand,Tehri Garhwal,814.6333333333333,601.358776572621,2651.0,1.3845409414034415,0.202,90.8,Elevated
Uttarakhand,Nainital,1136.9333333333334,777.8124024039046,2624.0,1.3844092015538692,0.599,90.59,Elevated
Uttar Pradesh,Kheri,2404.9666666666667,1141.3381584587553,4597.0,0.3734170560463928,2.159,90.33,Elevated
Jharkhand,Gumla,998.3333333333334,718.6773451534295,3216.0,0.8146744677418946,0.428,90.32,Elevated
Bihar,Vaishali,2172.4666666666667,1072.2934407094474,4022.0,0.5501685958584515,1.873,90.19,Elevated
Uttar Pradesh,Kanpur Nagar,2253.766666666667,1089.9121344950427,4701.0,0.3390456498212264,1.973,90.11,Elevated
Chhattisgarh,Kondagaon,982.7,659.8783665348408,2598.0,1.20847399023949,0.409,90.09,Elevated
Uttar Pradesh,Bijnor,2568.0666666666666,1238.9167385492342,4883.0,0.2768111812355664,2.36,89.99,Elevated
Tamil Nadu,Cuddalore,1904.2666666666667,1117.9649594574569,3865.0,0.5971668704890211,1.543,89.97,Elevated
Andhra Pradesh,Cuddapah,1575.6,1010.082229496603,4166.0,0.5071037407000911,1.139,89.88,Elevated
Haryana,Faridabad,1423.5,824.879249261411,3093.0,0.8367472390830247,0.951,89.8,Elevated
Tamil Nadu,Coimbatore,2182.5666666666666,1124.8893181824244,4511.0,0.39186932980187694,1.886,89.79,Elevated
Uttar Pradesh,Unnao,1823.8333333333333,926.3232504735138,3647.0,0.6585013328737653,1.444,89.64,Elevated
Delhi,West Delhi,1548.6666666666667,894.8490272717489,3994.0,0.5494174703911142,1.105,89.34,Elevated
Telangana,K.v. Rangareddy,2481.866666666667,1005.1211535597753,4669.0,0.3213272885493404,2.254,88.88,Elevated
Uttar Pradesh,Jaunpur,2184.9666666666667,948.4491327800686,3927.0,0.5508428964470975,1.888,88.78,Elevated
Rajasthan,Ganganagar,1027.9666666666667,753.1251433919832,3353.0,0.7363373812182424,0.465,88.53,Elevated
Tamil Nadu,Thanjavur,1705.8,961.6577425431065,3594.0,0.6485816095806332,1.299,88.26,Elevated
Maharashtra,Chandrapur,1803.5666666666666,1083.3624121649939,4841.0,0.26343068664288477,1.419,88.2,Elevated
Madhya Pradesh,Betul,1023.5,651.8946789273505,2471.0,2.0786230041497618,0.459,88.17,Elevated
Bihar,Rohtas,1613.9666666666667,902.0091169863177,3808.0,0.5805273341700139,1.186,88.08,Elevated
Delhi,South Delhi,1732.0666666666666,845.6361789365666,3330.0,0.7243166932212723,1.331,88.01,Elevated
Rajasthan,Ajmer,1447.6,866.7515095518119,3357.0,0.7147902312356726,0.981,87.77,Elevated
Rajasthan,Baran,970.6,710.8071953529433,2835.0,0.8801023882035235,0.394,87.73,Elevated
Rajasthan,Bharatpur,1305.8,819.8255659716216,3235.0,0.7523050574776499,0.807,87.69,Elevated
Bihar,Saharsa,1136.0666666666666,626.3530971415807,2463.0,0.9880550402388958,0.598,87.52,Elevated
Tamil Nadu,Pudukkottai,1370.2,860.751211602901,2960.0,0.8273278451920646,0.886,87.25,Elevated
Madhya Pradesh,Shahdol,841.2333333333333,517.9579055811611,2383.0,1.1427622487987008,0.235,86.7,Elevated
Rajasthan,Jalor,965.7,659.8729841207426,2512.0,0.9453428347632747,0.388,86.03,Elevated
Uttar Pradesh,Mirzapur,1193.4666666666667,614.3091288163693,2399.0,0.9684785333664482,0.668,85.59,Elevated
Andhra Pradesh,Srikakulam,1513.6666666666667,839.7195481470168,4011.0,0.4630787711908251,1.062,85.27,Elevated
Madhya Pradesh,Dewas,858.7333333333333,561.7742787186728,2272.0,1.3079579258243925,0.256,85.01,Elevated
Chhattisgarh,Balrampur,901.6,608.1712893925356,2261.0,3.5970271816315855,0.309,84.87,Elevated
Tamil Nadu,Tiruppur,1513.9,849.8432046052925,3476.0,0.6169725928690111,1.063,84.75,Elevated
Jammu and Kashmir,Anantnag,740.0666666666667,593.9037384751107,2256.0,1.0322710082932958,0.11,84.69,Elevated
Uttar Pradesh,Gorakhpur,2152.766666666667,933.8067688816544,4227.0,0.37308722532734634,1.849,84.48,Elevated
Madhya Pradesh,Satna,1355.6666666666667,765.0088723097556,2575.0,0.8831715625717215,0.868,84.13,Elevated
Uttar Pradesh,Gonda,1747.7333333333333,812.0745648341504,3641.0,0.548487603880343,1.35,84.0,Elevated
Uttar Pradesh,Pilibhit,1407.5666666666666,817.5310890780823,3589.0,0.5673826414958594,0.932,83.94,Elevated
Bihar,Supaul,1275.9333333333334,669.8433647751789,2916.0,0.7750649824724599,0.77,83.91,Elevated
Rajasthan,Jhunjhunun,1062.3333333333333,726.0575323139931,2702.0,0.8314522848970721,0.507,83.31,Elevated
Kerala,Ernakulam,1413.3,864.9661803235131,3454.0,0.5958518055459735,0.939,83.29,Elevated
Gujarat,Junagadh,1002.5333333333333,609.4845042489105,2651.0,0.8452326160067226,0.433,83.18,Elevated
Uttar Pradesh,Hardoi,2030.7333333333333,999.411307180152,4230.0,0.3448580065133362,1.699,83.03,Elevated
Chhattisgarh,Kanker,911.7666666666667,571.8771681071896,2141.0,2.175498854686907,0.322,83.03,Elevated
Punjab,Ludhiana,1629.1333333333334,1019.0588197748546,3592.0,0.5446519358537436,1.204,82.98,Elevated
Madhya Pradesh,Rewa,1271.6333333333334,722.6975083018809,2919.0,0.7535867936896111,0.765,82.88,Elevated
Madhya Pradesh,Khargone,884.5666666666667,499.4458089642499,2164.0,0.9878753121069385,0.288,82.76,Elevated
Telangana,Nizamabad,1085.8333333333333,653.6154138294187,3171.0,0.6759916634984684,0.536,82.75,Elevated
Madhya Pradesh,Morena,1046.4,574.0724212393295,2090.0,2.8011040063950605,0.487,82.33,Elevated
Maharashtra,Sangli,2014.9,1183.948168425139,4312.0,0.30193828654117866,1.679,82.14,Elevated
Madhya Pradesh,Sehore,755.3,495.71322006955205,2067.0,1.484656892504867,0.129,81.8,Elevated
West Bengal,Paschim Medinipur,1944.7333333333333,1025.2871736765983,4211.0,0.32622824363238984,1.593,81.76,Elevated
Uttar Pradesh,Rae Bareli,1514.8333333333333,727.5731072797987,3168.0,0.6459952120358992,1.064,81.47,Elevated
West Bengal,Birbhum,1623.8333333333333,847.0734643600806,3492.0,0.5445877505092545,1.198,81.44,Elevated
Kerala,Palakkad,1245.3666666666666,694.9621911488688,2407.0,0.8794605764165091,0.732,81.29,Elevated
Uttar Pradesh,Firozabad,1519.9,812.156658490857,3224.0,0.6192906819972042,1.07,81.0,Elevated
Chhattisgarh,Gariyaband,802.7333333333333,523.9071998197662,2021.0,0.9958408332878014,0.188,80.91,Elevated
Tamil Nadu,Tiruchirappalli,1549.9,845.4443169738906,3068.0,0.664249894708553,1.107,80.87,Elevated
Madhya Pradesh,Jabalpur,1435.1333333333334,794.3444372924578,2515.0,0.8302725725915864,0.966,80.61,Elevated
Tamil Nadu,Vellore,1878.7666666666667,1032.2498923370665,3680.0,0.46645376409607786,1.512,80.58,Elevated
Gujarat,Sabarkantha,898.6,579.4587010364901,2641.0,0.7967093698866871,0.305,80.53,Elevated
Rajasthan,Hanumangarh,958.6666666666666,621.7204901047511,1971.0,1.2127167814446564,0.379,80.45,Elevated
Maharashtra,Dhule,1276.2,791.4148569884627,2975.0,0.6842264219415601,0.77,80.27,Elevated
Uttar Pradesh,Shahjahanpur,1821.1,1030.8087333873273,3874.0,0.4007504025054381,1.441,80.23,Elevated
Rajasthan,Bundi,744.7666666666667,496.698526710903,1957.0,1.0402272991592694,0.116,80.1,Elevated
Bihar,Bhagalpur,1826.1666666666667,989.3177057894525,3732.0,0.439088812536032,1.447,79.97,Elevated
Odisha,Ganjam,1647.9666666666667,931.7158617982399,2925.0,0.6885142197540559,1.228,79.95,Elevated
Uttar Pradesh,Saharanpur,2241.5666666666666,1063.4083681593186,4098.0,0.3151099002948643,1.958,79.65,Elevated
Uttar Pradesh,Deoria,1675.2,799.1259621913656,3732.0,0.4317162391621329,1.261,79.51,Elevated
Gujarat,Rajkot,1656.2666666666667,860.1169901714587,3562.0,0.4827753170819149,1.238,79.44,Elevated
Madhya Pradesh,Rajgarh,857.1,472.3735627219422,1901.0,1.531941557067886,0.254,79.31,Elevated
Maharashtra,Kolhapur,2283.7,1139.4724777660088,4111.0,0.29429182977647533,2.01,78.84,Elevated
Punjab,Bathinda,765.4666666666667,535.6303237104496,1869.0,1.0226365131122905,0.142,78.77,Elevated
Chhattisgarh,Koriya,841.2,575.6939680312677,1993.0,0.9603727995524819,0.235,78.73,Elevated
Maharashtra,Amravati,2098.133333333333,1249.592947056494,3889.0,0.3503954585679846,1.782,78.12,Elevated
Gujarat,Dahod,771.1333333333333,505.1332861548615,1824.0,1.100430585456141,0.149,78.08,Elevated
Madhya Pradesh,Barwani,736.5333333333333,450.2741489308511,1820.0,2.2068057543155857,0.106,78.0,Elevated
Gujarat,Vadodara,1900.0666666666666,947.9586391869612,3505.0,0.4667119068709862,1.538,77.92,Elevated
Uttar Pradesh,Bulandshahr,1973.5,944.4136933240278,4245.0,0.238366016993204,1.628,77.91,Elevated
Rajasthan,Sikar,1387.9333333333334,834.1330801510625,3200.0,0.56113299899282,0.908,77.64,Elevated
Maharashtra,Nandurbar,868.1,551.4888531714977,1787.0,1.0648636033643142,0.268,77.57,Elevated
Bihar,Bhojpur,1437.2666666666667,771.7683649874502,3322.0,0.5187871214703346,0.968,77.43,Elevated
Maharashtra,Hingoli,1291.5666666666666,801.1686155702262,3086.0,0.5919935714813496,0.789,77.37,Elevated
Punjab,Amritsar,1075.5,635.2618113545919,2028.0,0.9179623780020517,0.523,77.3,Elevated
Andhra Pradesh,Vizianagaram,1332.6,758.8976397289736,2984.0,0.6194687988624893,0.84,77.21,Elevated
Delhi,North Delhi,627.3,390.5162939776892,1804.0,0.9793012160607832,-0.028,76.65,Elevated
Tamil Nadu,Madurai,2024.8333333333333,1032.7897300209668,3495.0,0.43469781759468545,1.691,76.24,Elevated
Karnataka,Bangalore,1402.7666666666667,769.249508122772,2519.0,0.7366673130409767,0.926,75.97,Elevated
Uttar Pradesh,Jhansi,1227.3666666666666,693.19194154007,2895.0,0.622425113473417,0.71,75.92,Elevated
Rajasthan,Dungarpur,939.9,653.987891377941,2773.0,0.6559338442338549,0.356,75.55,Elevated
Maharashtra,Latur,1622.2,955.1291806473814,3267.0,0.4942513221169442,1.196,75.47,Elevated
Bihar,Gopalganj,1492.2,788.7878697395618,3147.0,0.5137371204327655,1.036,74.52,Elevated
Uttar Pradesh,Bara Banki,1622.5333333333333,822.1297713375549,3277.0,0.4662018624433093,1.196,74.22,Elevated
Chhattisgarh,Kabeerdham,545.9,395.02731027369356,1577.0,1.6537945637801017,-0.129,74.15,Elevated
Bihar,Nawada,1128.1333333333334,610.3742059297459,2746.0,0.6320206830589019,0.588,74.05,Elevated
Assam,Dhubri,1269.4333333333334,706.7419020349325,2697.0,0.6452897916172025,0.762,74.05,Elevated
Chhattisgarh,Korba,1058.1333333333334,649.8872439777977,2248.0,0.7849274531681901,0.502,74.01,Elevated
Gujarat,Panchmahals,1056.3666666666666,712.3844604848074,2397.0,0.7372846777222517,0.5,73.91,Elevated
Uttar Pradesh,Mau,1227.2,559.7253267266994,2213.0,0.7904953585010044,0.71,73.86,Elevated
West Bengal,Puruliya,1631.0,778.0806181083436,3571.0,0.36673164496652794,1.207,73.77,Elevated
Madhya Pradesh,Tikamgarh,900.1,557.8241812985336,2203.0,0.7947235376825392,0.307,73.71,Elevated
Madhya Pradesh,Umaria,423.3333333333333,320.405813083145,1549.0,1.207774533328299,-0.279,73.64,Elevated
Madhya Pradesh,Hoshangabad,517.2333333333333,359.51400944678875,1541.0,1.4507239917322352,-0.164,73.58,Elevated
Chhattisgarh,Jashpur,1179.0666666666666,754.5769279734739,2489.0,0.6991627110018351,0.651,73.5,Elevated
Uttar Pradesh,Fatehpur,1409.2666666666667,769.667950497478,3270.0,0.45584333556781415,0.934,73.46,Elevated
Madhya Pradesh,Jhabua,609.8333333333334,351.0207856438462,1526.0,1.192716073929502,-0.05,73.4,Elevated
Andhra Pradesh,Anantapur,1075.3,691.0495840286765,3083.0,0.5151645029999183,0.523,73.35,Elevated
Uttar Pradesh,Siddharthnagar,1652.8333333333333,826.0086449966461,3140.0,0.48956839749490094,1.234,73.3,Elevated
Bihar,Aurangabad,1279.9666666666667,643.5086197388197,2993.0,0.5351396489808885,0.775,73.1,Elevated
Kerala,Alappuzha,872.8,522.2019294989381,1932.0,0.8641090628364476,0.274,73.0,Elevated
Gujarat,Kheda,961.0666666666667,623.1002539212944,2884.0,0.5659996502439799,0.382,72.77,Elevated
Madhya Pradesh,Shivpuri,1077.9666666666667,628.9391442154295,2641.0,0.6326807497342207,0.526,72.44,Elevated
Kerala,Thiruvananthapuram,1348.4333333333334,700.7341806662658,2418.0,0.6975575014569305,0.859,72.43,Elevated
Punjab,Jalandhar,1069.1333333333334,713.528180500123,2567.0,0.6486161579867357,0.515,72.1,Elevated
Kerala,Kollam,1170.9666666666667,666.725890185523,2579.0,0.6432647103619041,0.641,72.08,Elevated
Uttar Pradesh,Muzaffarnagar,1838.2,842.4385949176929,3421.0,0.37535651884981647,1.462,72.02,Elevated
Uttar Pradesh,Gautam Buddha Nagar,1245.4,547.5264503136843,2337.0,0.7149861927646165,0.732,71.99,Elevated
Madhya Pradesh,Chhatarpur,1162.9666666666667,641.6984189785262,2689.0,0.6057963264897451,0.631,71.89,Elevated
Haryana,Jind,720.6333333333333,396.83727954513245,1417.0,1.1653346536243379,0.086,71.8,Elevated
Maharashtra,Akola,1114.6666666666667,642.523383893983,2164.0,0.7657519374127486,0.571,71.8,Elevated
Madhya Pradesh,Ashok Nagar,458.73333333333335,312.7023409298186,1420.0,1.0259531446858292,-0.236,71.68,Elevated
Uttar Pradesh,Amethi,1115.6666666666667,586.3818535399263,2971.0,0.5117474551709965,0.573,71.49,Elevated
Karnataka,Belagavi,910.7333333333333,513.2609024881873,1988.0,0.8158601368976687,0.32,71.47,Elevated
Jammu and Kashmir,Baramula,666.5666666666667,404.4004232179419,1654.0,0.918743608966277,0.02,71.34,Elevated
Karnataka,Raichur,990.9,534.0368287700377,2014.0,0.8005267641776221,0.419,71.16,Elevated
